subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
plant organ	has_property	zero	0.1152	0.9229	0.0001
plant organ	has_color	yellow	0.1152	0.9335	0.0001
novel	has_property	acquired	0.1152	0.7915	0.0109
germany	can	advance	0.1152	0.7645	0.0273
series circuit	has_property	work	0.1152	0.934	0.0004
challenge	work on	apple watch	0.1152	0.9031	0.0165
knife	has_property	pay	0.1152	0.9156	0.0007
eye	hurt during	flu	0.1152	0.8737	0.1798
colombian	celebrate	valentine's day	0.1152	0.8466	0.0787
hip	hurt during	period	0.1152	0.9179	0.038
tie	affect winning	percentage	0.1152	0.7002	1.0
toucan	have	huge beaks	0.1152	0.8889	1.0
side	has_trait	good	0.1152	0.9469	0.0
vending machine	know	money is real	0.1152	0.8339	0.4345
human	contribute to	effects of erosion	0.1152	0.8614	0.6686
mouse	see in	dark	0.1152	0.9784	0.0118
goldfish	can	squeeze	0.1152	0.8214	0.0005
some thunder	has_property	longer than others	0.1152	0.9388	0.043
some thunder	has_property	louder than others	0.1152	0.886	0.0317
carbon monoxide	get	in to the body	0.1152	0.9227	0.118
verb	has_property	same	0.1152	0.9642	0.0009
bicycle chain	be on	right	0.1152	0.9778	0.0301
holy spirit	teach	us	0.1152	0.8656	0.0327
vitamin d	be different from	d3	0.1152	0.8315	0.4076
korea	be good at	at watch	0.1152	0.8581	0.7628
elephant	deserve	to live	0.1152	0.7891	0.1658
psycholinguist	has_property	snapping	0.1152	0.8544	0.0018
bile salt	has_property	present in urine	0.1152	0.9317	0.0272
raptor	adapt to	environment	0.1152	0.9439	0.0012
condition	vary by	season	0.1152	0.7936	0.7551
eagle	sleep	standing up	0.1152	0.8594	0.0277
address	work in	mexico	0.1152	0.8804	0.0625
hydrogen	have	spectral lines	0.1151	0.8393	0.1033
gallstone	can	come	0.1151	0.9375	0.0018
naproxen	can	identify	0.1151	0.8533	0.0005
polyploidy	has_property	useful in plants	0.1151	0.9112	0.4203
panel	work	nasa	0.1151	0.831	0.0931
citric acid	has_property	in baby food	0.1151	0.853	0.2153
veterinarian	has_property	different	0.1151	0.9463	0.0001
professional	be allowed in	olympics	0.1151	0.8867	0.1244
cs	go	up	0.1151	0.9429	0.0013
sam	wear	a sling in season 10	0.1151	0.7681	1.0
angioma	can	form	0.1151	0.866	0.0002
spike	can	plan	0.1151	0.8646	0.0016
france	be affected	by the revolutionary war	0.1151	0.8765	0.6383
dysplasia	has_property	a pre-neoplastic condition	0.1151	0.9474	1.0
pug	can	spin	0.1151	0.8664	0.0057
hot dog	has_property	mr	0.1151	0.946	0.0003
peach	give	heartburn	0.1151	0.85	0.0032
deliverable	can be communicated	to stakeholders	0.1151	0.8271	1.0
zoloft	can	was	0.1151	0.8692	0.0002
ascii character	has_trait	good	0.1151	0.9469	0.0
circle	form around	eyes	0.1151	0.8952	1.0
dead body	be with	sheets	0.1151	0.854	1.0
cucumber	can	iron	0.1151	0.9082	0.0009
dugong	feed	young	0.1151	0.8398	0.0044
iran	has_property	similar to the us	0.1151	0.8827	0.2338
droppings	can	close	0.1151	0.8236	0.0018
atom	give out	colors	0.1151	0.9305	1.0
dairy	can	work	0.1151	0.904	0.0
diction	affect	singing	0.1151	0.7805	0.1536
animalia	has_property	fee	0.1151	0.8949	0.0007
cabinet	has_property	grounded	0.1151	0.9071	0.0096
man	lose interest after	sex	0.1151	0.7783	0.7352
television	used in	harrison	0.1151	0.7603	0.4247
pawnbroker	determine	value	0.1151	0.8691	0.0609
member	kill	other human beings	0.1151	0.8512	1.0
database	has_property	the basis of business today	0.1151	0.8167	1.0
pac	brake	work	0.1151	0.8435	0.0541
electrolyte	has_property	ordered	0.1151	0.8448	0.0066
brake light	work on	motorcycle	0.1151	0.8599	0.1751
thoreau	describe	voting	0.1151	0.7282	1.0
graphite	has_property	radioactive	0.1151	0.8722	0.0033
mrs.	baumbach know	the dealers	0.1151	0.8138	1.0
shark	be susceptible to	to fishing	0.1151	0.7709	1.0
fermentation	has_property	negative	0.1151	0.9247	0.0011
antihistamine	has_property	squatting	0.1151	0.7998	0.0062
antihistamine	has_property	igniting	0.1151	0.8372	0.0096
other	suffer for	someone 's bad nature	0.1151	0.745	1.0
cystic fibrosis	affect	reproductive system	0.1151	0.8766	0.033
target	have	red balls	0.1151	0.8652	1.0
castle	has_property	now in ruins	0.1151	0.9559	1.0
road transport	has_property	the most convenient	0.1151	0.8737	1.0
muscle	can	dot	0.1151	0.823	0.0012
metical	has_property	no	0.1151	0.8728	0.0005
toy	has_property	hazard	0.1151	0.896	0.0227
entp	handle	rejection	0.1151	0.7412	0.0419
soar	has_place	off	0.1151	0.9065	0.0007
turtle	move	hands	0.1151	0.7365	0.0847
taiwan	has_property	state	0.1151	0.9342	0.0011
nurse	wear	gdansk clogs	0.1151	0.7718	1.0
author	use	literary elements	0.1151	0.7755	1.0
lactose	be in	cow 's milk	0.1151	0.8838	1.0
