local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0	0.8642	work	0.2109	can	asseveration
0.6248	0.853	children's hands	0.2109	hold	football player
0.0018	0.8479	natural	0.2109	has_property	naturalization
0.0235	0.9306	jeans	0.2109	has_property	goy
0.0003	0.8833	quiet	0.2109	has_trait	goy
1.0	0.7065	shopping at the antique store	0.2109	enjoy	rosemary
1.0	0.7003	goblin slayer	0.2109	reproduce	goblin
0.0122	0.677	unidirectional	0.2109	has_property	valve
0.7665	1.0	cancun	0.2109	has_property	goo
0.007	0.8739	spicy	0.2109	has_property	chipotle
0.01	0.9436	in the body	0.2109	be absorbed	iodine
0.001	0.9006	are	0.2109	has_property	edmonton
1.0	0.7592	cross	0.2109	recognize	christian
0.1934	0.858	new jersey shore	0.2109	be on	sam
1.0	0.7873	coal	0.2109	burn	human
0.0539	0.9483	different countries	0.2109	be different in	interest rate
0.1213	0.8189	hid	0.2109	has_property	gamma
0.01	0.9417	kitchen	0.2109	has_property	gamma
0.0012	0.9415	us	0.2109	has_property	anticoagulation
0.094	0.8893	china	0.2109	be different from	mongolia
0.0003	0.9376	white	0.2109	has_color	thread
0.0015	0.9105	produced	0.2109	has_property	solar panel
0.1107	0.9134	mercury	0.2109	has_property	barometer
0.0101	0.9104	noses	0.2109	has_body_part	statue
0.0014	0.8195	valid	0.2109	has_property	morus
0.0003	0.9078	healthy	0.2109	has_trait	morus
0.0004	0.9045	effective	0.2109	has_property	morus
0.0022	0.983	good for the environment	0.2109	has_property	water bottle
0.0006	0.873	tnt	0.2109	has_property	black hole
0.0068	0.8607	lights	0.2109	has_movement	wine bottle
0.0061	0.9172	iceland	0.2109	has_property	greenland
0.1403	0.6294	rouge	0.2109	has_property	robe
0.0008	0.934	work	0.2109	has_property	weightlifting
0.4857	0.8034	streaming	0.2109	make money from	musician
0.0002	0.9111	vegan	0.2109	has_diet	aleve
0.0013	0.8818	da	0.2109	has_property	crocodilia
0.0005	0.9129	vs	0.2109	has_property	investment funds
0.0041	0.9147	water	0.2109	absorb	synthetic fiber
0.0668	0.864	usa	0.2109	be celebrated in	boxing day
0.018	0.8516	training	0.2109	has_property	cadet
0.0	0.8642	work	0.2109	can	interphone
0.0302	0.9322	health care	0.2109	be used in	financial statement
1.0	0.7563	sexless marriages	0.2109	have	couple
0.0402	0.7994	blood	0.2109	draw	job
0.1099	0.8821	a person's life	0.2109	change	baptism
0.024	0.8647	money	0.2109	need	futures market
0.3085	0.9173	vitamin k	0.2109	receive	infant
1.0	0.8909	to watch tv	0.2109	be supposed	baby
0.0004	0.9402	bbc	0.2109	has_property	link
0.3187	0.893	biology	0.2109	study	student
1.0	0.7627	aim	0.2109	train	pro
1.0	0.8795	spark plugs	0.2109	get in	oil
0.1234	0.9329	0 calories	0.2109	have energy of	dill pickle
0.0016	0.9027	cm	0.2109	has_property	cosmic microwave background radiation
0.5952	0.9006	a lot	0.2109	get paid	accountant
0.1249	0.8373	mine craft	0.2109	die in	bee
1.0	0.8305	peanuts a stereotype	0.2109	eat	elephant
0.0065	0.8052	review	0.2109	has_property	enamel
0.9657	0.7522	payroll	0.2109	do	accountant
0.0494	0.9126	friends	0.2109	can be	cat
1.0	0.7863	tall white hats	0.2109	have	chef
0.0069	0.9463	good for the body	0.2109	has_property	lime
0.0188	0.8231	constipation	0.2109	cause	herpes
0.1573	0.8386	relays	0.2109	be used in	resistor
1.0	0.8307	foundation of child	0.2109	be important factor in	psychology
0.0007	0.8996	ft	0.2109	has_property	pumpkinseed
0.0017	0.8919	unhealthy	0.2109	has_trait	obesity
0.0285	0.8312	shape	0.2109	get	protein
0.0037	0.966	california	0.2109	be in	estate
0.0005	0.9006	necessary	0.2109	has_property	sump pump
0.6455	0.8463	same spot	0.2109	sit in	spider
1.0	0.7891	menstrual pain	0.2109	reduce	ibuprofen
0.3161	0.8871	united nations	0.2109	be member of	kosovo
1.0	0.7674	hands while they sleep	0.2108	hold	otter
0.1093	0.8973	today	0.2108	closed	post office
0.0005	0.911	not	0.2108	has_property	soap
0.0041	0.8455	win	0.2108	has_property	swan
1.0	0.7797	business casual	0.2108	has_property	short
1.0	0.8823	1017 of the philippines	0.2108	have the philippines beneficial to filipinos of	proclamation
0.0003	0.8833	quiet	0.2108	has_trait	raisin
0.018	0.9498	good for diabetics	0.2108	has_property	sweet potato
1.0	0.8092	from dog to dog	0.2108	transfer	worm
0.6854	0.7337	fannie mae	0.2108	be called	federal national mortgage association
1.0	0.6322	fatal vision	0.2108	refer as	macbeth
0.3957	0.8913	around the house	0.2108	can be used	sugar
0.0006	0.8893	yellow	0.2108	turn	coconut oil
0.0124	0.9055	long legs	0.2108	have	dachshund
0.0065	0.9131	mixture	0.2108	has_property	graphite
0.0096	0.9216	back pain	0.2108	cause	birth control
0.0035	0.9328	night	0.2108	has_property	poetry
1.0	0.7918	to the beatles	0.2108	listen	everyone
1.0	0.7334	to compete with dancers	0.2108	try	cheerleader
0.0001	0.9469	good	0.2108	has_trait	skim milk
