subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
plateau	have	flat tops	0.0857	0.8473	0.0384
lucifer	can show to	chloe	0.0857	0.8774	1.0
certificate	has_property	all	0.0857	0.9269	0.001
ectomorph	can gain	muscle mass	0.0857	0.8751	0.3274
lemur	has_property	hollow	0.0857	0.8501	0.0049
lemur	has_property	drawn	0.0857	0.858	0.0058
aluminum	be denser than	wood	0.0857	0.857	0.7862
summer	has_property	ignoring	0.0857	0.8575	0.0008
carp	has_property	pa	0.0857	0.9447	0.0002
chandelier	shade	attach	0.0857	0.7324	0.4272
rhino	queen	town	0.0857	0.7856	0.0336
parsnip	has_property	xenoblade	0.0857	1.0	0.0019
state	can	put	0.0857	0.8393	0.0002
bronchitis	can	expire	0.0857	0.8774	0.0005
history	can	code	0.0857	0.8583	0.0051
man	contract	hp	0.0857	0.737	1.0
voc	can	zero	0.0857	0.9104	0.0003
eyelid	has_property	da	0.0857	0.8822	0.0005
pine tree	attract	lightning	0.0857	0.7563	0.0278
defensive	can	occur	0.0857	0.8906	0.0001
bahamian	can	know	0.0857	0.9079	0.0003
conjoined twin	can	qualify	0.0857	0.8262	0.0005
heparin	has_property	ads	0.0857	0.957	0.0003
tang	can	view	0.0857	0.8053	0.0054
body	can	smell	0.0857	0.8984	0.0002
parrot	take	care of them	0.0857	0.9304	1.0
thor	have	two hammers	0.0857	0.7483	1.0
princess	can	greet	0.0857	0.7759	0.0195
survey	has_property	com	0.0857	0.8783	0.0006
boil	has_body_part	skin	0.0857	0.8957	0.0006
twenty	can	jump	0.0857	0.8827	0.0001
candlewick	can	quiet	0.0857	0.7707	0.0005
candlewick	can	reviews	0.0857	0.8427	0.0127
peace lily	get	brown leaves	0.0857	0.8736	0.202
super	has_property	burning	0.0857	0.8669	0.0052
color	has_property	dec	0.0857	0.9645	0.0005
bi	can	dot	0.0857	0.823	0.0009
vitamin	has_property	needed	0.0857	0.9164	0.0005
ancient egyptians	bathed in	blood	0.0857	0.7418	1.0
autopsy	has_property	harm	0.0857	0.8559	0.0021
autopsy	has_movement	zip	0.0857	0.9029	0.0008
rallidae	can	end	0.0857	0.847	0.0002
gold	can detect	lead	0.0857	0.8665	1.0
vampire	can	fight	0.0857	0.8896	0.0008
tb	has_property	around	0.0857	0.9609	0.0013
country	take	refugees	0.0857	0.8462	0.2303
sequoia	can	zero	0.0857	0.9104	0.0003
piolet	can	quark	0.0857	0.8955	0.3663
cigar	go	out	0.0857	0.9442	0.0057
guideline	has_time	old	0.0857	0.9313	0.0002
squid	has_property	xl	0.0857	0.7721	0.0012
persian cat	has_property	sir	0.0857	0.9278	0.0004
helicopter	can	make	0.0857	0.8948	0.0014
chief	can	wet	0.0857	0.9025	0.0002
plessimeter	can	benefited	0.0857	0.8106	1.0
osteologer	can	zoom	0.0857	0.8638	0.0003
osteologer	can	qualify	0.0857	0.8262	0.0005
osteologer	can	do	0.0857	0.9192	0.0001
osteologer	can	jump	0.0857	0.8827	0.0001
osteologer	can	believe	0.0857	0.8748	0.0111
bellhop	can	quit	0.0857	0.8569	0.0001
bellhop	can	fly	0.0857	0.9162	0.0003
headshake	can	travel	0.0857	0.8853	0.0005
headshake	can	live	0.0857	0.9265	0.0003
headshake	can	know	0.0857	0.9079	0.0003
headshake	can	jump	0.0857	0.8827	0.0001
headshake	can	happen	0.0857	0.8738	0.0002
headshake	can	grow	0.0857	0.9109	0.0002
himalia	can	jump	0.0857	0.8827	0.0001
diamine	can	share	0.0857	0.8632	0.0041
diamine	can	heal	0.0857	0.9037	0.0011
diamine	can	grow	0.0857	0.9109	0.0002
emersion	can	know	0.0857	0.9079	0.0003
caeciliidae	can	meaning	0.0857	0.8306	0.0015
themisto	can	work	0.0857	0.9072	0.0
themisto	can	reproduce	0.0857	0.9114	0.0002
themisto	can	pronounce	0.0857	0.8592	0.0114
themisto	can	look	0.0857	0.9308	0.0005
themisto	can	jump	0.0857	0.8827	0.0001
themisto	can	grow	0.0857	0.9109	0.0002
tandearil	can	zip	0.0857	0.8974	0.0005
tandearil	can	work	0.0857	0.9072	0.0
tandearil	can	urinate	0.0857	0.8771	0.0013
tandearil	can	reproduce	0.0857	0.9114	0.0002
tandearil	can	quit	0.0857	0.8569	0.0001
tandearil	can	occur	0.0857	0.8906	0.0001
tandearil	can	meaning	0.0857	0.8306	0.0015
tandearil	can	killed	0.0857	0.9112	0.004
tandearil	can	jump	0.0857	0.8827	0.0001
tandearil	can	form	0.0857	0.866	0.0002
tandearil	can	build	0.0857	0.8762	0.0129
sigyn	can	jump	0.0857	0.8827	0.0001
milanese	can	grow	0.0857	0.9109	0.0002
mnium	can	zero	0.0857	0.9104	0.0003
mnium	can	quilt	0.0857	0.8775	0.0031
mnium	can	jump	0.0857	0.8827	0.0001
bellhop	can	reproduce	0.0857	0.9114	0.0002
bellhop	can	quit	0.0857	0.8569	0.0001
bellhop	can	fly	0.0857	0.9162	0.0003
headshake	can	travel	0.0857	0.8853	0.0005
headshake	can	travel	0.0857	0.8853	0.0005
headshake	can	live	0.0857	0.9265	0.0003
headshake	can	know	0.0857	0.9079	0.0003
headshake	can	jump	0.0857	0.8827	0.0001
headshake	can	happen	0.0857	0.8738	0.0002
headshake	can	grow	0.0857	0.9109	0.0002
headshake	can	disappear	0.0857	0.9415	0.0019
oriolus	can	know	0.0857	0.9079	0.0003
oriolus	can	jump	0.0857	0.8827	0.0001
pianism	can	zoom	0.0857	0.8638	0.0003
pianism	can	vote	0.0857	0.8744	0.0003
pianism	can	qualify	0.0857	0.8262	0.0005
pianism	can	do	0.0857	0.9192	0.0001
pianism	can	know	0.0857	0.9079	0.0003
pianism	can	join	0.0857	0.8808	0.0009
cheloid	can	quit	0.0857	0.8569	0.0001
cheloid	can	know	0.0857	0.9079	0.0003
hypnotiser	can	volunteer	0.0857	0.8181	0.0052
hypnotiser	can	qualify	0.0857	0.8262	0.0005
hypnotiser	can	love	0.0857	0.9057	0.0027
gynophore	can	die	0.0857	0.8889	0.0001
stager	can	jump	0.0857	0.8827	0.0001
gidar	can	work	0.0857	0.9072	0.0
halogeton	can	zero	0.0857	0.9104	0.0003
halogeton	can	quit	0.0857	0.8569	0.0001
akeridae	can	quiet	0.0857	0.7707	0.0005
akeridae	can	need	0.0857	0.9085	0.0044
akeridae	can	jobs	0.0857	0.8957	0.0006
ammoniuria	can	work	0.0857	0.9072	0.0
ammoniuria	can	rise	0.0857	0.8598	0.0009
ammoniuria	can	quest	0.0857	0.789	0.0015
