local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.7171	abroad taxes	0.1926	live	us
0.1056	0.9459	mean	0.1926	be in	clock
0.0398	0.7945	updating	0.1926	keep	messenger
0.3624	0.9291	large wheels	0.1926	have	tractor
0.0006	0.8369	types	0.1926	can	doughnut
1.0	0.7862	a lot of political problems	0.1926	have	africa
0.0121	0.8765	exercise	0.1926	can	animal
1.0	0.7755	on the concrete box	0.1926	form	ice crystal
0.03	0.9518	in christmas	0.1926	has_property	noel
0.0001	0.9561	spanish	0.1926	be in	reaper
1.0	0.8036	math students	0.1926	eat	zombie
0.964	0.8412	drivers	0.1926	affect	sleep deprivation
0.4796	0.8202	spaceship	0.1926	need	god
0.0239	0.8641	ignorant	0.1926	has_trait	most people
0.01	0.982	important to the human body	0.1926	has_property	iodine
0.0207	0.94	wedding rings	0.1926	wear	pentecostal
0.0462	0.8862	chocolate	0.1926	make	switzerland
0.0021	0.9491	chinese	0.1926	be in	spartan
0.6454	0.889	to the amazon rain forest	0.1926	adapt	orchid
0.3354	0.9223	body	0.1926	get stored in	fat
1.0	0.7439	depth of ocean	0.1926	determine	sonar
0.8632	0.8115	carbon	0.1926	be smaller than	nitrogen
0.0033	0.8645	causes	0.1926	has_property	cold sore
0.0341	0.7552	to un peacekeeping	0.1926	contribute	colombia
1.0	0.8353	to the original	0.1926	related	prey
0.1345	0.8151	bills	0.1926	pay	juror
0.0002	0.9111	vegan	0.1926	has_diet	cup
1.0	0.7892	average monthly balance	0.1926	calculate	bank
1.0	0.9542	backwards	0.1926	go then	train
1.0	0.8473	different from all the other metals in the periodic table	0.1926	be	mercury
0.0005	0.9026	reproduce	0.1926	can	protozoan
0.0003	0.9363	money	0.1926	make	accounting firm
0.0006	0.8754	speed	0.1926	can	obligation
0.0007	0.8916	hot	0.1926	has_temperature	jupiter
0.0015	0.8699	strong	0.1926	has_trait	alloy
0.2586	0.8806	beaks open	0.1926	keep	chicken
0.187	0.7974	the tundra	0.1926	affect	fishing
0.0001	0.9561	spanish	0.1926	be in	primary care provider
1.0	0.7349	starfish move	0.1926	help	water vascular system
1.0	0.7936	in water a chemical property of sugar	0.1926	dissolve	sugar
0.0007	0.8077	ghost	0.1926	can	novel
0.0004	0.9129	vs	0.1926	has_property	pot plant
0.0008	0.9726	body	0.1926	affect	hot weather
0.3806	0.9094	west world work	0.1926	be in	gun
0.3106	0.93	mine craft ps4	0.1926	be in	torch
0.0015	0.977	brain	0.1926	affect	playing piano
0.4684	0.9142	step	0.1926	step by	chopstick
0.0004	0.8775	was	0.1926	has_property	plastic
0.4242	0.8009	faster than python	0.1926	has_property	go
0.0075	0.8501	noted	0.1926	can	brake
1.0	0.8437	proteins worksheet	0.1926	affect	gene mutation
0.0002	0.9384	be	0.1926	can	australian
0.2251	0.6623	thalassemia	0.1926	be in	iron overload
0.9056	0.7789	canon	0.1926	be offline	printer
1.0	0.8881	north korea	0.1926	work in	election
0.3691	0.8482	after	0.1926	feel	sex
0.0009	0.866	vegetarian	0.1926	has_diet	marinara
0.0004	0.8698	exist	0.1926	can	organization
0.0004	0.8664	cut	0.1926	can	axe
0.0405	0.9057	fatal	0.1926	can be	botulism
1.0	0.7824	2 divisions	0.1926	have	meiosis
0.0149	0.9031	advertising	0.1926	be used in	female
1.0	0.8158	to people in ca	0.1926	be sold	stella
0.5746	0.9034	electric	0.1926	can be	rocket
0.0075	0.8593	gun	0.1926	can	warthog
0.0011	0.9435	car	0.1926	has_property	baltimore
1.0	0.7937	saltwater	0.1926	change in	cell
0.0493	0.862	individual	0.1926	affect	bipolar disorder
0.0023	0.8971	km	0.1926	has_property	tennis
0.0705	0.8351	ferry	0.1926	can	coho
0.0014	0.9535	amazon	0.1926	has_property	trade book
1.0	0.8241	a good indicator of environmental quality	0.1926	has_property	lichen
1.0	0.8439	use	0.1926	get in	battery
0.9078	0.8897	loop	0.1926	be called	chicago
0.3117	0.8807	smaller with age	0.1926	get	eye
1.0	0.8874	auto insurance	0.1926	affect	zip code
0.1294	0.9245	on mountains	0.1926	has_property	seashell
0.0009	0.8091	pop	0.1926	can	sheep
0.0989	0.7537	gloria	0.1926	play	st louis blues
1.0	0.8081	hyperthyroidism howl	0.1926	be with	cat
0.1686	0.7871	food	0.1926	acquire	primate
1.0	0.9001	longer than others	0.1926	last	some days
0.0004	0.9515	french	0.1926	be in	airship
0.0218	0.9334	part of asia	0.1926	has_property	australia
0.0001	0.9335	yellow	0.1926	has_color	comb
0.0061	0.8758	names	0.1926	get	wrestler
0.0013	0.9061	fun	0.1926	has_property	mashed potato
0.029	1.0	fs17	0.1926	has_property	mashed potato
0.0014	0.8865	ftp	0.1926	has_property	mashed potato
0.0252	0.8149	quin	0.1926	has_property	mashed potato
0.0015	1.0	gw2	0.1926	has_property	mashed potato
0.0195	0.7941	ghee	0.1926	has_property	mashed potato
1.0	0.7936	more attractive than mailmen guys	0.1926	have	up
1.0	0.8637	in pregnancy	0.1926	can be treated	thrush
1.0	0.7584	prenatal scans	0.1925	be used for	x ray
1.0	0.9217	large prey	0.1925	kill	eagle
0.2062	0.9108	early pregnancy	0.1925	hurt in	nipple
1.0	0.8039	oxygen	0.1925	combine with	hemoglobin
0.3874	0.9011	us to see	0.1925	help	eye
0.5431	0.7193	massacre	0.1925	has_property	nanking
0.0007	0.8517	belts	0.1925	can	obligation
0.0004	0.8772	lyrics	0.1925	can	obligation
0.002	0.8598	rise	0.1925	can	obligation
1.0	0.7454	rushes	0.1925	can	obligation
0.0013	0.8022	slow	0.1925	can	obligation
0.0028	0.8649	switch	0.1925	can	obligation
0.0012	0.8666	yield	0.1925	can	obligation
0.0026	0.8313	azure	0.1925	can	obligation
0.0018	0.7768	echo	0.1925	can	obligation
0.0006	0.9121	fly	0.1925	can	obligation
0.0005	0.8664	itch	0.1925	can	obligation
0.0554	0.8686	clothes	0.1925	make	factory
0.0961	0.9275	longer to heal	0.1925	take	smoker
0.1081	0.8635	when it rains	0.1925	hurt	knee
0.0002	0.9412	red	0.1925	has_color	pot
1.0	0.7868	short distances	0.1925	travel	alpha particle
1.0	0.9106	the body from pathogens	0.1925	defend	lymphocyte
0.0539	0.7918	themselves	0.1925	express	actor
1.0	0.799	lions	0.1925	sit on	fly
1.0	0.8218	a problem on airplanes	0.1925	has_property	static
1.0	0.8069	diamonds	0.1925	be coated with	metal
1.0	0.8672	apartments	0.1925	be common in	roach
0.9174	0.7999	wet dreams	0.1925	get	boy
0.0022	0.9027	job	0.1925	can	restaurant
0.0	0.8642	work	0.1925	can	swag
0.1971	0.8019	hero	0.1925	can	receipt
0.0003	0.9078	healthy	0.1925	has_trait	rose
1.0	0.8121	name carbon	0.1925	has_property	carbon
0.4093	0.7868	swede	0.1925	be called	rutabaga
0.0225	0.9492	in the walking dead	0.1925	die	simon
0.0011	0.8764	quality	0.1925	has_property	cocoa bean
0.0023	0.8733	see	0.1925	can	raven
0.003	0.9658	humans	0.1925	be important to	protein
0.4344	0.838	psoriasis worse	0.1925	make	stress
0.0004	0.8435	aquatic	0.1925	has_property	cyanide
0.0	0.8642	work	0.1925	can	mauriac
1.0	0.7474	the repository of legislative power in the country	0.1925	has_property	congress
1.0	0.8908	the distance	0.1925	affect	paper airplane
1.0	0.7614	when a plated with an oceanic crust meets one with a continental crust	0.1925	be formed	mountain
0.1185	0.9195	by the environment	0.1925	be affected	skin color
0.1046	0.8997	childcare	0.1925	be in	whistleblowing important
0.7719	0.8166	ductile deformation	0.1925	be different from	brittle deformation
0.0004	0.9591	on	0.1925	has_place	expense
0.138	0.852	iphone	0.1925	be grade out on	app
0.0	0.8642	work	0.1925	can	chatter
0.0001	0.9561	spanish	0.1925	be in	deuce
0.1796	0.8672	damp places	0.1925	live in	liverwort
0.0871	0.8746	influence	0.1925	has_property	rap music
0.0605	0.8945	slime	0.1925	have	okra
0.0016	0.8709	uk	0.1925	be illegal in	roe
0.0003	0.9363	money	0.1925	make	prince charles
1.0	0.8354	transporting	0.1925	can transport energy	wave
1.0	0.7731	jaws	0.1925	dislocate	snake
0.0019	0.8469	uses	0.1925	can	mettle
1.0	0.7382	night	0.1925	reduce power at	radio station
1.0	0.6974	lobbyists	0.1925	benefit from	politician
1.0	0.8025	certain color light when heated	0.1925	produce	element
0.6374	0.8694	drugs	0.1925	be related to	suicide
0.0012	0.8456	fit	0.1925	can	shoe
0.7294	0.7157	crystalline on heating	0.1925	become	solid
