subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
palpation	can	eat	0.0902	0.9077	0.0002
knit	has_property	all	0.0902	0.9269	0.001
gentleman	can	flirt	0.0902	0.8276	0.0071
cat	respond to	light	0.0902	0.8357	0.0081
color wheel	has_property	free	0.0902	0.9514	0.0002
amir	flee	afghanistan in the kite runner	0.0902	0.7553	1.0
twin	has_property	age	0.0902	0.9204	0.0005
atp	make	adp	0.0902	0.8835	1.0
wetsuit	can	expire	0.0902	0.8774	0.0005
bank	has_property	interested in financial statements	0.0902	0.9005	0.0575
panda	has_property	pm	0.0902	0.9249	0.0002
panda	has_property	cpi	0.0902	0.9154	0.0004
panda	has_property	gpa	0.0902	0.9281	0.0004
lichen	be important	python	0.0902	0.9315	0.0154
tile	has_property	synthetic	0.0902	0.8366	0.0019
tile	has_property	pcs	0.0902	0.9062	0.001
tile	has_property	bum	0.0902	0.8789	0.0009
geothermal energy	has_property	more widely used	0.0902	0.9358	0.657
karl adolf eichmann	can	die	0.0902	0.8889	0.0001
platelet	be important to	athletes in contact sports	0.0902	0.8466	1.0
windmill	has_property	text	0.0902	0.9462	0.0002
volume	be changed	on the flute	0.0902	0.8182	0.5037
rheumatic fever	has_property	rare	0.0902	0.9447	0.0009
lipstick	has_color	silver	0.0902	0.8922	0.0035
dandelion	help	environment	0.0902	0.9585	0.0008
truman	disagree	with stalin in power	0.0902	0.7297	1.0
religious belief	give direction to	life	0.0902	0.8262	1.0
cartilaginification	can	reproduce	0.0902	0.9114	0.0003
pseudopod	work	briefly	0.0902	0.7392	0.3013
inkling	can	talk	0.0902	0.8845	0.0009
coneflower	can	propagate	0.0902	0.8204	0.0082
flibbertigibbet	can	reproduce	0.0902	0.9114	0.0003
mobulidae	can	attack	0.0902	0.843	0.0012
hoover dam	has_property	low	0.0902	0.9407	0.0005
anticonvulsant	can	joint	0.0902	0.7665	0.0064
anticonvulsant	can	zone	0.0902	0.8289	0.0006
anticonvulsant	can	quit	0.0902	0.8569	0.0001
lawnmower	can	met	0.0902	0.797	0.0002
cigarette	has_property	bad for pregnancy	0.0902	0.9689	0.011
animal	can talk like	humans	0.0902	0.9364	0.2178
potential energy	can be changed	by gravity	0.0902	0.8135	1.0
chigger	bite itch more at	night	0.0902	0.8509	0.1854
planning	has_property	important in business	0.0902	0.961	0.0013
chestnut	has_property	nut	0.0902	0.8908	0.0027
mail carrier	get into	apartment buildings	0.0902	0.8664	0.1186
boa	can	eat	0.0902	0.9077	0.0002
chile	has_property	spicy	0.0902	0.8916	0.003
influenza	can	spread	0.0902	0.8878	0.0005
vertebra	has_property	svenska	0.0902	1.0	0.0006
vertebra	has_property	czech	0.0902	0.9181	0.0002
vertebra	has_property	cbc	0.0902	0.7997	0.0003
vertebra	has_property	cnn	0.0902	0.8883	0.0003
vertebra	has_property	chart	0.0902	0.8838	0.0033
vertebra	has_property	azerbaids	0.0902	1.0	0.0155
vertebra	has_property	awareness	0.0902	0.8481	0.0013
vertebra	has_property	approach	0.0902	0.8286	0.0027
vertebra	has_property	acidic	0.0902	0.927	0.0006
vertebra	has_trait	aggressive	0.0902	0.9077	0.0004
rifle	has_trait	mean	0.0902	0.9459	0.0009
topography	affect	water quality	0.0902	0.9129	0.0037
mason	fold	dollar bill	0.0902	0.7931	1.0
gender	be creation of	society	0.0902	0.8536	1.0
investor	can	am	0.0902	0.8117	0.0015
clan	work in	fun run 2	0.0902	0.784	1.0
mirror	can	fold	0.0902	0.7598	0.0157
trucker	can	sleep	0.0902	0.9066	0.0002
roof	has_property	siding	0.0902	0.7854	0.4423
tingle	can	award	0.0902	0.8782	0.0009
trout	swim	upside down	0.0902	0.8242	0.0204
moonshiner	has_property	on tv	0.0902	0.9569	0.0008
javascript	improve	functionality in web pages	0.0902	0.7387	1.0
patron	can	ice	0.0902	0.884	0.0003
patron	can	mine	0.0902	0.821	0.04
methanol	has_property	more polar than ethanol	0.0902	0.8401	0.4917
mouse	can	communicate	0.0902	0.8903	0.0009
tomtate	has_property	bbq	0.0902	0.8978	0.0007
tomtate	has_property	ayala	0.0902	1.0	0.0079
tomtate	has_property	fertilized	0.0902	0.8822	0.0039
tomtate	has_property	gwarinpa	0.0902	1.0	0.0658
tile	has_property	mr	0.0902	0.946	0.0002
canadian goose	has_property	everywhere	0.0902	0.9075	0.0014
crawdad	has_property	real	0.0902	0.8973	0.0004
organism	arrange in	uniform dispersion	0.0902	0.6226	1.0
linux	be	red hat up different	0.0902	0.8022	1.0
hydrogen cyanide	be in	jurassic world	0.0902	0.9276	0.5627
adult	has_property	homeless	0.0902	0.8431	0.0274
professional	kill	bed bugs	0.0902	0.8997	0.0143
subtitle	has_property	out of sync	0.0902	0.9013	0.0157
puppy	can	smell	0.0902	0.8868	0.0003
property tax	be included	in the mortgage payment	0.0902	0.8563	1.0
mine	use	water	0.0902	0.871	0.0026
interviewer	ask	open questions	0.0902	0.8993	1.0
korean names	have	two parts	0.0902	0.8784	0.0977
mountaineer	can	jump	0.0902	0.8827	0.0001
baked potato	has_property	cal	0.0902	0.9037	0.0009
hose	has_property	day	0.0902	0.9357	0.0003
ammonite	can	form	0.0902	0.866	0.0002
professional	find	bed bugs	0.0902	0.9218	0.2178
herbaceous plant	has_property	supported	0.0902	0.9288	0.0032
smell	can	set	0.0902	0.8827	0.0004
flood	form	video	0.0902	0.728	0.0175
employer	look for	college degrees	0.0902	0.7818	1.0
polysaccharide	can	know	0.0902	0.9079	0.0003
democracy	be superior to	other forms of government	0.0902	0.8365	0.3888
polyp	can	up	0.0902	0.8924	0.0003
hydrogen	has_property	different from other elements	0.0902	0.9473	0.0328
cooke	has_property	sol	0.0902	0.9631	0.0004
human	enjoy	watching other humans have sex	0.0902	0.7607	1.0
tooth	has_property	juice	0.0902	0.865	0.0012
everything	has_property	possible	0.0902	0.9047	0.0019
injury	can be prevented	by families	0.0902	0.8455	1.0
rod	has_property	found	0.0902	0.9445	0.0011
animal	has_property	ming	0.0902	0.737	0.0093
particle	can	look	0.0902	0.9308	0.0006
pocket knife	have	holes	0.0902	0.927	0.0015
airport	can	issue	0.0902	0.8352	0.0063
photo	run in	background iphone	0.0902	0.7964	0.2528
grab	can	eyeballs	0.0902	0.8113	1.0
share	can	trade	0.0902	0.8899	0.0077
shin	can	put	0.0902	0.8393	0.0002
sleep deprivation	affect	college students	0.0902	0.9134	0.315
cabbage	dry up	breast milk	0.0902	0.8697	0.3137
venire	can	qualify	0.0902	0.8262	0.0006
fibre	help in	blood clot formation	0.0902	0.9019	0.3353
tile	has_property	avg	0.0902	0.908	0.0003
virginity	be considered	pure	0.0902	0.8817	0.2975
clavus	can	form	0.0902	0.866	0.0002
thief	pick	locks	0.0902	0.7409	0.0746
siberian	can	form	0.0902	0.866	0.0002
honey	be different from	sucrose	0.0902	0.8537	1.0
houseboat	get	electricity	0.0902	0.8568	0.0073
banshee	can	kill	0.0902	0.8967	0.0005
salt	can produce	electricity	0.0902	0.9141	0.0159
medical dressing	can	work	0.0902	0.9072	0.0
cacti	can	eat	0.0902	0.9077	0.0002
humanity	be important in	business	0.0902	0.961	0.0013
dental implant	come	loose	0.0902	0.8627	0.0302
hijacker	can	operate	0.0902	0.813	0.0022
hoofing	can	end	0.0902	0.847	0.0002
educator	can support	children 's play	0.0902	0.8169	0.6378
unconscientiousness	can	lead	0.0902	0.8877	0.0114
corrective lens	improve	eyesight	0.0902	0.8222	0.0493
two	has_place	up	0.0902	0.9414	0.0002
hot water	affect	fish	0.0902	0.8482	0.0116
datum	be corrupted on	ps4	0.0902	0.7902	1.0
compound	can be separated	by physical processes	0.0902	0.8047	1.0
magnet	can	form	0.0902	0.866	0.0002
prince charming	leave	land	0.0902	0.8071	0.5274
wave	can cause	objects to move	0.0902	0.8066	1.0
ppi	can	differ	0.0902	0.9027	0.0033
stipend	can	know	0.0902	0.9079	0.0003
charlotte	has_property	au	0.0902	0.8988	0.0057
propeller	has_property	text	0.0902	0.9462	0.0002
rpm	affect	horsepower	0.0902	0.8158	0.1184
anorexia	has_property	exercise	0.0902	0.9295	0.0045
lash	shed more in	fall	0.0902	0.9057	0.3207
tribe	has_property	sam	0.0902	0.9135	0.0008
raven	has_property	a girl in taken 7	0.0902	0.8738	0.4928
isomer	has_property	highly soluble in each other	0.0902	0.848	1.0
ronald reagan	has_property	famous	0.0902	0.9271	0.0002
tile	has_property	dusty	0.0902	0.8381	0.005
tile	has_property	link	0.0902	0.8614	0.0022
goldfinch	can	die	0.0902	0.8889	0.0001
strip	has_property	we	0.0902	0.9436	0.0004
dog	turn	around before going to sleep	0.0902	0.8207	1.0
wasp	be good for	garden	0.0902	0.9844	0.0138
arctic moss	live	in the tundra	0.0902	0.9796	0.0059
senior citizen	be referred to	to golden ages	0.0902	0.7702	1.0
guinea	has_property	divided	0.0902	0.931	0.0045
deacon	wear	stole	0.0902	0.7463	0.2181
curtain	can	go	0.0902	0.9306	0.0002
tile	has_property	case	0.0902	0.8742	0.0007
acidity	relate to	water quality	0.0902	0.8672	0.2452
gun control	be different from	state to state	0.0902	0.928	0.072
chef	wear	large hats	0.0902	0.9284	1.0
hillary	can be	president	0.0902	0.9135	0.4055
hypothermia	occur in	sepsis	0.0902	0.8453	0.0535
headlight	get	hazy	0.0902	0.8348	1.0
nitric oxide	affect	heart	0.0902	0.9734	0.0015
palm oil	affect	body	0.0902	0.9726	0.0004
cayenne pepper	detox	body	0.0902	0.7863	0.1752
palm oil	affect	body	0.0902	0.9726	0.0004
patron	can	itch	0.0902	0.8698	0.0002
patron	can	identify	0.0902	0.8533	0.0004
patron	can	belts	0.0902	0.8517	0.0003
base	kill	bacteria	0.0902	0.9544	0.0017
magnetic core	has_property	laminated	0.0902	0.7373	0.1413
consumer	has_property	guide	0.0902	0.8632	0.0025
stalker	get	information	0.0902	0.8658	0.0116
asian	has_property	small	0.0902	0.8728	0.0003
stem	be removed from	raisins	0.0902	0.8124	1.0
abbreviation	has_property	oath	0.0902	0.9211	0.0013
polymerization	has_property	useful	0.0902	0.918	0.0002
lipid	has_color	pink	0.0902	0.9433	0.0005
lipid	has_property	gas	0.0902	0.9479	0.0005
lipid	has_property	osmosis	0.0902	0.8555	0.002
lipid	has_property	own	0.0902	0.8187	0.0006
lipid	has_property	pbs	0.0902	0.9038	0.0007
lipid	has_property	rda	0.0902	0.932	0.0031
lipid	has_property	tag	0.0902	0.913	0.0007
lipid	has_property	gas	0.0902	0.9479	0.0005
lipid	has_property	ecg	0.0902	0.862	0.0013
lipid	has_color	pink	0.0902	0.9433	0.0005
turtle	live in	desert	0.0902	0.9809	0.0018
safe	can	convert	0.0902	0.8368	0.1689
cow	survive in	weather	0.0902	0.9297	0.2828
woodpecker	help	environment	0.0902	0.9585	0.0008
spark	has_property	under the space shuttle	0.0902	0.9008	1.0
parent	can	act	0.0902	0.8646	0.0005
outcome	can	met	0.0902	0.797	0.0002
province	can plan for	wildfires	0.0902	0.8261	1.0
ostrich	has_property	vicious	0.0902	0.8171	0.011
text	has_property	mango	0.0902	0.8925	0.0021
marker	has_property	fee	0.0902	0.8949	0.0005
marker	has_property	dog	0.0902	0.9488	0.0005
mimesis	be issue in	art theory	0.0902	0.7743	1.0
fossil	show	evolution	0.0902	0.8369	0.1533
suit	has_property	garden	0.0902	0.9493	0.0048
catheter	has_property	sneezing	0.0902	0.8711	0.0013
catheter	has_property	decreasing	0.0902	0.8902	0.0186
catheter	has_property	decreasing	0.0902	0.8902	0.0186
vitamin	added	to milk	0.0902	0.9085	0.4609
chat	has_time	now	0.0902	0.9371	0.0003
quokka	can	zero	0.0902	0.9104	0.0003
cassette player	play	slow	0.0902	0.7749	0.0731
geology	influence	the distribution of natural resources	0.0902	0.7892	1.0
restaurant	has_property	cyprus	0.0902	0.9294	0.0008
restaurant	has_property	flu	0.0902	0.9515	0.0011
hepatitis b	be spread from	person to person	0.0902	0.9617	0.0601
mannitol	be contraindicated in	intracranial bleeding	0.0902	0.8664	1.0
pendent	can	grow	0.0902	0.9109	0.0002
pendent	can	zero	0.0902	0.9104	0.0003
pendent	can	travel	0.0902	0.8853	0.0005
pendent	can	jump	0.0902	0.8827	0.0001
scallop	can	travel	0.0902	0.8853	0.0005
tile	has_property	twice	0.0902	0.9088	0.0004
tile	has_property	wynn	0.0902	0.7967	0.0011
tile	has_property	ww2	0.0902	0.9159	0.0008
tile	has_property	wjec	0.0902	1.0	0.0002
tile	has_property	wgtn	0.0902	1.0	0.0025
