local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0053	0.9488	medicine	0.2654	be used in	light
0.0006	0.8521	form	0.2654	can	resin
0.1485	0.8396	sniffer dogs	0.2654	be used as	spaniel
0.0225	0.9397	small ears	0.2654	have	mole
0.0222	0.9008	food	0.2653	keep	salt
1.0	0.8871	described as fossil fuel	0.2653	can	crude oil
0.1623	0.8199	excel	0.2653	change in	date
0.4544	0.891	summer	0.2653	be shorter in	shadow
0.2992	0.864	werewolf	0.2653	turn into	jacob
1.0	0.8204	rodent ulcers	0.2653	get	cat
1.0	0.8269	i am using a van	0.2653	know	bbc
0.4261	0.7009	wife	0.2653	charge for	cruise ship
0.0007	0.8861	yellow	0.2653	can	dishwasher
0.0113	0.9763	news	0.2653	be in	straw
1.0	0.8736	abnormal number of chromosomes	0.2653	have	cancer cell
0.5021	0.8253	costlier than white rice	0.2653	has_property	brown rice
1.0	0.7742	when another car is trying to pass	0.2653	speed up	most people
0.0002	0.9561	spanish	0.2653	be in	movie star
1.0	0.9174	in the north	0.2653	be needed	capital
0.0013	0.9525	nyc	0.2653	has_property	meat
0.0008	0.9111	fly	0.2653	can	commercial
0.3702	0.8297	acne	0.2653	reduce	birth control
0.0496	0.8621	india	0.2653	be celebrated in	muharram
0.4329	0.8587	sol	0.2653	use	nasa
0.0303	0.9002	important city	0.2653	has_property	york
0.0038	0.9467	sky	0.2653	has_property	object
0.0069	0.9675	important to society	0.2653	has_property	graphic designer
0.7446	0.6745	peer	0.2653	can	cat
0.5099	0.8001	lives physics	0.2653	save	airbag
1.0	0.7216	on film	0.2653	reverse	wheel
0.8205	0.8861	bill of rights	0.2653	need	consumer
0.6519	0.6998	emerging markets	0.2653	hurt	interest rate
0.0005	0.9591	on	0.2653	has_place	method
0.0005	0.9451	green	0.2653	has_color	mineral
0.0785	0.9138	christmas	0.2653	be used at	fir tree
1.0	0.7204	coffee	0.2653	burn	starbucks
0.0941	0.8279	a fever	0.2653	break	acetaminophen
0.001	0.9726	body	0.2653	affect	malaria
0.0004	0.9381	cd	0.2653	has_property	brick
0.0649	0.9599	plants	0.2653	be different from	green algae
1.0	0.8975	22 rated r	0.2653	has_property	mile
1.0	0.8599	stomach flu	0.2653	be called	gastroenteritis
0.0002	0.9583	uk	0.2653	has_property	motto
0.0396	0.9804	body	0.2653	occur in	asthma
0.0018	0.9063	good	0.2653	feel	nipple
0.0434	0.8919	heat	0.2653	be in	maltese dog
0.6186	0.8626	genetic diversity	0.2653	generate	meiosis
1.0	0.9341	silvia	0.2653	be s15 illegal	nissan
0.1359	0.7932	the rules	0.2653	break	employee
0.0147	0.8876	milk	0.2653	produce	breast
0.4523	0.751	secretary	0.2653	has_property	attorney general
0.5072	0.8687	to treat anxiety	0.2653	be used	ssri
1.0	0.8813	force	0.2653	be called as	friction
0.3778	0.8197	to other gods	0.2653	related	poseidon
1.0	0.7716	high speeds	0.2653	stop at	wind turbine
1.0	0.8831	breast cancer	0.2653	be sign of	nipple
0.0019	0.9495	english	0.2653	be in	gyro
1.0	0.7514	a lead detroit	0.2653	get	hank
0.0044	0.8602	due	0.2653	has_property	premium
0.2101	0.7991	movies	0.2653	act in	toddler
0.0027	0.983	good for the environment	0.2653	has_property	natural gas
1.0	0.8113	to the diversity of species on earth	0.2653	contribute	evolution
0.3677	0.8016	always	0.2653	shake	small dog
0.1912	0.8799	open	0.2653	be called	slam
1.0	0.9107	in cells	0.2653	get in	substance
0.1432	0.8278	at a discount	0.2653	be issued	treasury bill
0.3715	0.9585	oedipus	0.2653	be in	imagery
1.0	0.7739	no waste	0.2653	have	forest
0.0324	0.8401	curry	0.2653	has_property	spinach
0.7462	0.8348	chloroplast	0.2653	occur in	photosynthesis
0.3584	0.8882	genetic variation	0.2653	produce	mutation
0.0585	0.8283	us	0.2653	hurt	word
0.0004	0.8782	use	0.2653	can	insect
0.027	0.8995	black spots	0.2653	have	tongue
0.1039	0.8564	hhs	0.2653	be on	chiropractor
0.0006	0.9515	french	0.2653	be in	echinoderm
0.0003	0.9384	be	0.2653	can	pocket
0.7195	0.8769	brown sugar	0.2653	need	chocolate chip cookie
0.6259	0.758	themselves gag	0.2653	make	baby
0.3853	0.893	ibiza	0.2653	be expensive in	water
0.0074	0.7989	guide	0.2653	has_property	cluster
0.0099	0.8541	still	0.2653	exist	alimony
0.0615	0.9527	physics	0.2653	be in	strain
0.0004	0.8951	are	0.2653	can	peregrine
1.0	0.7833	one side	0.2653	swell on	lymph node
0.0003	0.9384	be	0.2653	can	pangolin
0.3767	0.8489	other body systems	0.2653	work with	kidney
1.0	0.7998	different from being a tourist	0.2653	be	pilgrimage
0.7283	0.9031	expensive to make	0.2653	has_property	movie
1.0	0.8318	viral infections	0.2653	be given for	antibiotic
0.0248	0.8797	blood sugar	0.2653	raise	smoking
1.0	0.8645	regularly	0.2653	occur	meteor shower
0.6776	0.7774	chrysalis	0.2653	make	monarch
0.0021	0.9062	top	0.2653	has_property	shingle
0.9346	0.8694	english	0.2653	can understand	dog
0.0856	0.8753	africa	0.2653	be prevalent in	cell anemia
0.4154	0.8887	run fast	0.2653	can	cheetah
1.0	0.7705	important as an entrepreneurial skill	0.2653	think	design
1.0	0.7217	in charlotte's web	0.2653	die	charlotte
0.0964	0.864	important to the americans	0.2653	be	alcohol
0.018	0.8679	energy	0.2653	lose	river
0.004	0.8445	from	0.2653	come	carpet beetle
0.0005	0.8968	grow	0.2653	can	ear
0.0398	0.872	eggs	0.2653	make	penguin
0.0032	0.8443	bite	0.2653	can	people
0.0004	0.8701	safe	0.2653	has_property	cyclist
0.0009	0.9109	us	0.2653	help	sea turtle
0.0005	0.9257	open	0.2653	has_trait	sporting goods store
0.1258	0.7806	amsterdam	0.2653	go to	youngster
1.0	0.7872	senators	0.2653	be for	qualification
0.0005	0.8661	old	0.2652	has_time	premium
0.0063	0.8881	names	0.2652	has_property	cyclone
0.2114	0.9056	fruit	0.2652	grow on	fungi
0.0186	0.8385	suck	0.2652	can	people
1.0	0.8036	answered immediately	0.2652	has_property	prayer
0.0004	0.9192	do	0.2652	can	sunburn
0.0009	0.9109	us	0.2652	help	fasting
0.0007	0.8999	watch	0.2652	has_property	cluster
0.0093	0.8536	bop	0.2652	has_property	cluster
0.0007	0.8861	yellow	0.2652	can	hue
