subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
peptide	can	agree	0.1098	0.8656	0.001
suit	can	cast	0.1098	0.7882	0.0075
half	has_property	half naked	0.1098	0.8965	0.8983
sugar	has_property	do	0.1098	0.9348	0.0003
shape	has_place	away	0.1098	0.8823	0.0002
microbe	has_property	drawing	0.1098	0.8435	0.0087
lemon	turn	hard	0.1098	0.7911	0.0391
crown	has_property	pc	0.1098	0.9495	0.0004
animation	has_property	taken seriously	0.1098	0.8346	0.0213
scientific method	begin with	observation	0.1098	0.7435	1.0
tilapia	can	leer	0.1098	0.8175	0.0253
tilapia	can	irrigated	0.1098	0.8526	0.0273
apple juice	kill	plants	0.1098	0.9114	0.0104
cichlid	can	size	0.1098	0.8746	0.0007
phonetics	can	book	0.1098	0.8553	0.0011
goalkeeper	can	mistakes	0.1098	0.8234	1.0
meatloaf	can	am	0.1098	0.8117	0.0018
tab	disappear in	firefox	0.1098	0.8296	1.0
mask	have	big mouths	0.1098	0.8991	0.0636
temple	provide	information about past	0.1098	0.8079	1.0
plexus	can	group	0.1098	0.8207	0.0094
bike	be in	san diego work	0.1098	0.919	1.0
ecologist	can	work	0.1098	0.904	0.0
ipa	has_property	dying	0.1098	0.8439	0.0005
ovarian cyst	cause	pregnancy symptoms	0.1098	0.8973	1.0
grapefruit juice	left	in an open	0.1098	0.7901	1.0
functionalism	relate to	crime	0.1098	0.7896	0.2026
dialysis	can	update	0.1098	0.8852	0.0024
phoebe	can	get	0.1098	0.9429	0.0004
lobster	can	cry	0.1098	0.8317	0.0013
lobster	can	nuts	0.1098	0.8814	0.0274
georgia	be good at	rugby	0.1098	0.8829	0.1265
rv	can	hunt	0.1098	0.8316	0.0015
rescue operation	has_trait	good	0.1098	0.9469	0.0
startup	can	drive	0.1098	0.8468	0.0077
some pennies	has_color	red	0.1098	0.9412	0.0001
lisp	has_time	yet	0.1098	0.9117	0.0004
cheque	can	oil	0.1098	0.8756	0.0007
cheque	can	bop	0.1098	0.8536	0.0025
meteor	break	up	0.1098	0.8754	0.0021
bedbug	has_property	ill	0.1098	0.8892	0.0005
enthalpy	has_property	a function of temperature	0.1098	0.8855	0.2235
tumour	can spread	to different parts of the body	0.1098	0.9187	0.4765
microwave	can be used	for satellite communication	0.1098	0.8956	1.0
kaleidoscope	use	mirrors	0.1098	0.7982	0.0279
sunlight	make	electricity	0.1098	0.8636	0.0034
grandfather clock	has_trait	quiet	0.1098	0.8833	0.0001
nail clippers	has_property	fed	0.1098	0.84	0.0011
nail clippers	has_property	faster	0.1098	0.9052	0.0038
peer	contribute to	normal development	0.1098	0.8579	1.0
cedrela	has_property	zero	0.1098	0.9229	0.0001
cedrela	has_property	ok	0.1098	0.9197	0.0005
cedrela	has_property	uk	0.1098	0.9583	0.0001
adjustment	can	slow	0.1098	0.8022	0.0007
adjustment	can	rhyme	0.1098	0.8554	0.0004
sherpa	have	last name sherpa	0.1098	0.7546	1.0
headhunter	can	down	0.1098	0.8893	0.0043
clothes	can	stretch	0.1098	0.8575	0.0092
mashed potato	kill	mice	0.1098	0.8702	0.0197
whiting	can	award	0.1098	0.8782	0.0011
koala	have	fluffy ears	0.1098	0.822	1.0
leatherback turtle	has_trait	quiet	0.1098	0.8833	0.0001
robin	can	born	0.1098	0.8923	0.0017
plant cell	remove	waste	0.1098	0.8565	0.0176
greeting	can	turn	0.1098	0.8452	0.0041
cataract	has_property	formed	0.1098	0.9142	0.0002
chick	can	bug	0.1098	0.8491	0.0083
boss	can	use	0.1098	0.8979	0.0002
police department	has_property	jobs	0.1098	0.8478	0.0007
holy day	has_property	it	0.1098	0.9152	0.0007
insect	has_property	do	0.1098	0.9348	0.0003
