subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
patriot	beat	rams	0.1302	0.7388	1.0
inversion	be used in	poetry	0.1302	0.9244	0.0069
magician	guess	numbers	0.1302	0.8173	1.0
interviewer	say in	running	0.1302	0.7745	1.0
term	can	limited	0.1302	0.8277	0.0885
world war	be ii seen	as a good war	0.1302	0.8319	1.0
bump	be of	significant	0.1302	0.8705	0.0117
watermelon	has_property	son	0.1302	0.9384	0.0011
vegetarianism	can	put	0.1302	0.806	0.0003
deep sea divers	get	the bends	0.1302	0.9704	0.0268
taco	has_property	do	0.1302	0.9176	0.0004
factor analysis	relate	to the trait perspective	0.1302	0.7429	1.0
atom	achieve	stability	0.1302	0.8011	0.2737
duck	leave	netflix	0.1302	0.8768	0.0193
cardinal	fertilize	eggs	0.1302	0.941	0.0144
edo	be called	tokyo	0.1302	0.8818	0.8257
polder	has_property	important to the netherlands	0.1302	0.852	0.1327
nucleic acid	help	maintain homeostasis	0.1302	0.9496	0.0207
molecule	has_property	dipole	0.1302	0.8262	0.0983
stingray	use	tails	0.1302	0.8199	0.0213
tinder	connect to	facebook	0.1302	0.7939	0.9461
baby	has_property	on tv	0.1302	0.9569	0.0012
hunter	get pets in	wow	0.1302	0.7897	1.0
iago	want	to get revenge against othello	0.1302	0.8913	1.0
nitrogen	enter	the marine ecosystem	0.1302	0.864	0.56
long bone	be completely smooth on	exterior	0.1302	0.7702	1.0
hydrogen peroxide	be used in	preparation of oxygen	0.1302	0.8398	1.0
spectrum line	has_property	visible	0.1302	0.8954	0.0007
jfk	related	to the cold war	0.1302	0.9403	0.0389
straw	be problem for	environment	0.1302	0.8578	0.4888
traveller	get	car insurance	0.1302	0.9121	0.2217
uke	has_property	pronounce	0.1302	0.8533	0.0007
tomato	affect	digestion	0.1302	0.8622	0.0169
share	has_property	consolidated	0.1302	0.6438	0.0834
hydrologist	relate to	science	0.1302	0.8878	0.0062
headache	come on	suddenly	0.1302	0.8268	0.1348
odds	has_movement	rising	0.1302	0.8388	0.0034
healthcare	be in	spain	0.1302	0.9536	0.0041
dialogue	be important in	classroom	0.1302	0.9847	0.0121
diesel	blow	blue smoke	0.1302	0.9269	0.3543
diamond	has_property	box	0.1302	0.9442	0.0005
pimple	get	crusty	0.1302	0.8586	0.0321
introvert	get	exhausted	0.1302	0.8418	0.1772
france	have	high cancer rate	0.1302	0.927	0.1569
married couple	split	tax refund	0.1302	0.7978	1.0
subscription	can	pop	0.1302	0.8303	0.0006
chick	enter	eggs	0.1302	0.8288	0.7
piggy	be in	chapter 2	0.1302	0.9017	1.0
friend	relieve	stress	0.1302	0.9292	0.0163
teacher	has_property	mean to each other	0.1302	0.8589	0.0562
automation	change	the way we live	0.1302	0.8692	1.0
bacterium	adapt to	new environments	0.1302	0.9059	0.7155
microscope	be used in	industry	0.1302	0.9436	0.0052
ketchup packets	have	numbers	0.1302	0.9041	0.0035
bone cell	has_property	squamous	0.1302	0.8266	0.0292
swimming	improve	strength	0.1302	0.7691	0.047
beetle	has_property	go	0.1302	0.9387	0.0002
animal	have	appendix	0.1302	0.866	0.0663
siri	can	speak	0.1302	0.8731	0.0025
fire-on-the-mountain	has_property	rna	0.1302	1.0	0.0007
prisoner	buy	things	0.1302	0.8475	0.1368
four hundred	be	seven thousandths written in standard form	0.1302	0.7958	1.0
asthma	has_property	problem	0.1302	0.9417	0.0008
ground squirrel	has_property	epidemic	0.1302	0.8367	0.002
nation	create	wealth	0.1302	0.786	0.0707
outline	can	cycle	0.1302	0.881	0.0007
number	has_property	se	0.1302	0.8817	0.0113
polymer	has_property	bonded	0.1302	0.8184	0.0354
retainer	get	dirty	0.1302	0.8766	0.0071
bone	enable	movement	0.1302	0.887	1.0
tarantula	take	care of young	0.1302	0.8919	0.0032
ally	be in	ww1	0.1302	0.9585	0.1475
military	feel	about kneeling	0.1302	0.7537	0.3227
termite	release	methane	0.1302	0.7936	0.1375
bugger	has_movement	quicker	0.1302	0.9052	0.0055
information technology	be used in	other occupations	0.1302	0.8034	1.0
church	invest	money	0.1302	0.8748	0.0207
cartridge	get	dark	0.1302	0.8458	0.0073
malachite	be used as	dye	0.1302	0.8596	1.0
diabetes	cause	headaches	0.1302	0.917	0.0038
courting	has_place	away	0.1302	0.8777	0.0003
cabinet	can	type	0.1302	0.8376	0.0008
stroller	can	bum	0.1302	0.8078	0.0011
isotope	has_property	detected	0.1302	0.8512	0.0067
tapping	can	man	0.1302	0.8528	0.0006
hormone	make	us emotional	0.1302	0.8077	0.1669
bloodworm	can	survive	0.1302	0.8945	0.0007
cattle	can	sleep	0.1302	0.9066	0.0003
skeletal system	work together	to produce leverage	0.1302	0.7905	1.0
transpiration	can be	useful	0.1302	0.9296	0.009
bp	be high in	morning	0.1302	0.9287	0.0239
tegu	has_property	invasive	0.1302	0.8541	0.0021
robot	follow	instructions	0.1302	0.786	0.4154
bird	drown in	pools	0.1302	0.8127	0.3684
igloo	stay inside	warm	0.1302	0.9229	0.8853
judge	has_property	use	0.1302	0.9446	0.0003
headshot	has_trait	quiet	0.1302	0.8833	0.0002
headshot	has_property	vancouver	0.1302	0.954	0.0114
wendy	have	patties	0.1302	0.6313	1.0
business environment	affect	business	0.1302	0.9074	0.0022
nightspot	can	work	0.1302	0.8758	0.0
hamster	bathe	themselves	0.1302	0.8334	0.0748
red fox	has_property	http	0.1302	0.9007	0.0021
landlord	work out	affordability	0.1302	0.6996	0.4002
packaging	have colored	dots	0.1302	0.8947	0.2743
program	has_property	responding	0.1302	0.8301	0.0094
airplane	leave	white streaks in the sky	0.1302	0.8438	1.0
dowry	has_property	illegal	0.1302	0.9492	0.0001
nerve	produce	electricity	0.1302	0.9108	0.0026
sweet potato	be allowed on	air diet	0.1302	0.8974	0.1691
jew	be used in	sentence	0.1302	0.9512	0.0018
france	have	lowest energy use	0.1302	0.8692	1.0
orca	eat	moose	0.1302	0.8701	0.1149
psychoactive drug	act on	nervous system	0.1302	0.8459	0.5651
fungi	has_property	antibiotics	0.1302	0.9462	0.283
potassium iodide	be used along with	iodine	0.1302	0.8073	1.0
deer	has_property	crepuscular	0.1302	0.7009	0.1335
tennis shoe	has_property	different from sneakers	0.1302	0.8239	0.32
salt	has_property	gyroscopic	0.1302	0.6478	0.0605
crab	has_property	size	0.1302	0.919	0.0007
quaker	celebrate	christmas	0.1302	0.9368	0.0011
sky	during	storm	0.1302	0.8312	0.6245
ruby	be in	hidden city	0.1302	0.8262	1.0
atropine	can	age	0.1302	0.8613	0.0004
maple tree	has_property	pyramid	0.1302	0.8874	0.0009
lemon	cleanse	body	0.1302	0.7774	0.5698
levi	have	black label	0.1302	0.7536	1.0
