subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
generic drug	has_property	same	0.6833	0.9642	0.0056
alien	abduct	stupid people	0.6833	0.6604	1.0
woodwind	has_property	with the lowest timbre	0.6833	0.695	1.0
europe	have	ps	0.6833	0.8735	0.0123
technology	influence	the arts	0.6833	0.7385	1.0
water filter	has_property	filter	0.6833	0.8264	0.208
rose	get	food	0.6832	0.8687	0.0041
antibiotic	cause	fever	0.6832	0.8048	0.1515
information system	provide	competitive advantages	0.6832	0.7559	1.0
tourism	contribute to	economy	0.6832	0.906	0.1154
igneous rock	be known as	primary rocks	0.6832	0.7801	1.0
na	has_property	na song	0.6832	0.8236	0.5754
carolina	has_property	republican	0.6832	0.8041	0.0766
cell phone	be made of	glass	0.6832	0.8798	0.0305
dungeness crab	bury	themselves in the sand	0.6832	0.8435	0.3187
web	can	design	0.6832	0.7714	0.0856
tide	occur on	earth	0.6832	0.8405	0.1295
blood agar	be used for	urine culture	0.6832	0.8072	0.9453
solar panel	use	water	0.6832	0.8502	0.0195
bisque	has_property	soup	0.6832	0.8042	0.0562
palm	has_property	lighter than back of hand	0.6832	0.8298	0.5762
cockroach	be in	chocolate	0.6832	0.9156	0.0464
copper	turn	silver	0.6832	0.7846	0.574
chicken	grow	strong	0.6832	0.801	0.8347
computer	use	base 2	0.6832	0.7324	1.0
white blood cell	actually kill	cancer cells	0.6832	0.8589	1.0
hotel room	be cheap in	vegas	0.6832	0.8471	0.8254
lotion	has_color	white	0.6832	0.9376	0.0009
law	be made	in a state	0.6832	0.8945	1.0
home	buy	in the uk	0.6832	0.8409	1.0
city	has_property	at the foot of mountains	0.6832	0.828	1.0
catching	has_place	on	0.6832	0.9591	0.0014
mineral	be in	geodes	0.6832	0.6889	1.0
cave	get	flooded	0.6831	0.7127	0.2306
whitetail deer	has_color	black	0.6831	0.9414	0.0012
retirement account	has_property	taxed	0.6831	0.9108	0.0037
composite number	has_property	aka	0.6831	0.8174	0.0048
jakarta	be as	city	0.6831	0.9196	0.1125
cat	has_property	afraid of the vacuum	0.6831	0.8412	0.543
socrates	call	himself a midwife of knowledge	0.6831	0.6808	1.0
juice	be made	in a factory	0.6831	0.9142	0.023
dishwasher	can	clean	0.6831	0.7816	0.0307
nerve	transmit	signals to the brain	0.6831	0.8521	1.0
country	give	foreign aid	0.6831	0.752	0.3838
metadata	be used	in is	0.6831	0.9265	0.3189
mumbai	has_property	famous	0.6831	0.8974	0.0012
doctor	know	they 're doing a good job	0.6831	0.8326	1.0
player	play for	lakes	0.6831	0.7895	1.0
