local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.222	0.8947	in the body	0.4563	be maintained	electrolyte balance
0.0095	0.9016	plant	0.4563	has_property	bamboo
0.0041	0.886	water	0.4563	need	insect
0.0383	0.9169	in the workplace	0.4563	be used	email
0.0043	0.8643	system	0.4563	affect	std
0.007	0.8071	bridge	0.4563	can	traffic
0.4296	0.7589	toilet	0.4563	drink out of	dog
0.9494	0.7435	nuke	0.4563	want	north korea
0.2053	0.8924	taurus	0.4563	be attracted to	aquarius
0.0014	0.9319	art	0.4563	has_property	mobile phone
1.0	0.6933	in the liabilities of the ra	0.4563	be affected	corporation
0.0032	0.7798	quick	0.4563	has_movement	egg noodle
0.0007	0.8866	is	0.4563	has_property	repp
1.0	0.688	acting	0.4563	stop	actor
0.0846	0.8953	line	0.4563	walk in	deer
0.0397	0.9032	tongue	0.4562	stick out	husky
1.0	0.7536	other adults kids	0.4562	call	adult
0.0705	0.879	tennessee	0.4562	be in	armadillo
0.8149	0.8927	color	0.4562	be called	flag
0.2401	0.8834	glucose	0.4562	get	cell
1.0	0.8196	out of the bottom of the car	0.4562	leak	oil
1.0	0.7217	cafeteria	0.4562	sit together in	student
0.0329	0.9487	to live in	0.4562	has_property	oregon
0.3786	0.8068	of the dead	0.4562	dispose	buddhist
1.0	0.8126	class	0.4562	be prepared for	student
1.0	0.8654	ss	0.4562	recommend	everyone
1.0	0.8395	in the protein group	0.4562	be included	legume
0.0004	1.0	and	0.4562	has_property	skate
1.0	0.8661	roman numeral	0.4562	be written in	40
0.0026	0.8882	if	0.4562	has_property	attracter
0.0077	0.9017	organic	0.4562	has_property	farm
1.0	0.6675	the appearance of mountains	0.4562	change	glaciation
1.0	0.7782	field	0.4562	walk off	pitcher
0.0886	0.7353	unpredictable	0.4562	has_trait	hurricane
0.3272	0.9219	cold weather	0.4562	be in	virus
0.0087	0.8462	pink	0.4562	turn	sky
0.0022	0.8918	had	0.4562	has_property	cox-2 inhibitor
0.0014	0.9319	art	0.4562	has_property	charm
0.6779	0.8071	love	0.4562	stay in	married couple
0.1251	0.8522	makeup	0.4562	be	girl
1.0	0.755	as commander in chief of the continental army	0.4562	be chosen	george washington
0.033	0.9205	sentence	0.4562	be in	authority
1.0	0.8675	hair	0.4562	can grow faster	guy
1.0	0.8684	order a thing	0.4562	has_property	pick
0.0168	0.9344	in order	0.4562	has_property	airdrop
0.0171	0.8578	text	0.4562	be important	person
1.0	0.761	the eucharist is a symbol	0.4562	believe	protestant
0.1538	0.8718	wasps	0.4562	kill	hornet
1.0	0.733	as a score point	0.4562	count	suicide
0.1614	0.6396	an aphrodisiac	0.4562	has_property	oyster
0.0027	0.9571	german	0.4562	be in	sweet pea
1.0	0.7797	time in the same unit as humans	0.4562	can measure	tree
1.0	0.6789	menu	0.4562	take avocados off	restaurant
1.0	0.8091	window	0.4562	can break	spark plug
1.0	0.8183	around the lips	0.4562	be painful	acne
0.6116	0.8572	useful as storage molecules	0.4562	has_property	triglyceride
0.0928	0.9171	other cells	0.4562	differ from	cancer cell
0.0215	0.8877	on mac	0.4562	work	game
0.001	0.901	vs	0.4562	has_property	google
0.0287	0.8948	balls	0.4562	have	man
0.2983	0.8964	used in hospitals	0.4561	can	robot
0.0003	0.9561	spanish	0.4561	be in	selector switch
0.0026	0.8892	survive	0.4561	can	seal
0.0508	0.9054	jeans	0.4561	has_property	possum
0.0079	0.8523	questions	0.4561	has_property	possum
0.1759	0.9184	side of road	0.4561	be on	deer
0.1928	0.8796	nylon	0.4561	be made of	umbrella
1.0	0.69	other prisoners	0.4561	attack	prisoner
1.0	0.7911	skinny girls	0.4561	go for	guy
0.0289	0.8988	cheese	0.4561	has_property	mozzarella
1.0	0.7557	employees	0.4561	quit	employee
0.8166	0.81	names	0.4561	have american	liberian
1.0	0.8264	3 times a day	0.4561	pray	shia
0.06	0.8307	us	0.4561	kill	medical bill
0.0065	0.9616	in japan	0.4561	has_property	transportation
0.0047	0.983	good for the environment	0.4561	has_property	tsunami
1.0	0.8642	england	0.4561	be sent	hamlet
0.6232	0.7449	menu	0.4561	take away	waiter
1.0	0.8194	the strongest shape in nature	0.4561	has_property	triangle
1.0	0.8127	robin hood	0.4561	be supported by	stock
0.7652	0.9252	archaebacteria	0.4561	differ from	protist
1.0	0.8518	them	0.4561	have loops in	brake lines
0.125	0.9041	own food	0.4561	make	heterotroph
0.3531	0.8721	microwave	0.4561	be safe	plate
0.0023	0.9748	used	0.4561	can	zeolite
0.007	0.8812	smaller	0.4561	has_property	chromosome
0.2626	0.8367	24 hours	0.4561	have open of	grocery store
1.0	0.7798	nest	0.4561	dig in	eagle
0.0012	0.8812	yellow	0.4561	turn	hut
0.4572	0.8052	sushi	0.4561	come with	wasabi
0.2277	0.9301	laboratory	0.4561	be used in	pipette
0.6572	0.7692	parkways	0.4561	can drive on	truck
0.0385	0.8816	disease	0.4561	have	pick
0.0012	0.8332	hurt	0.4561	can	sprain
0.1822	0.9487	league	0.4561	be in	trophy
0.2093	0.8737	body	0.4561	move	skeletal muscle
0.204	0.8977	different from other wars	0.4561	has_property	civil war
0.1676	0.749	equal at the equinoxes	0.4561	has_property	night
0.1041	0.8652	construction	0.4561	has_property	steel
1.0	0.8032	functioning of nervous system	0.4561	can disrupt	drug
1.0	0.9382	universal	0.4561	be in	hulk
0.4597	0.7821	clothes	0.4561	buy	boutique
0.005	0.9305	time	0.4561	has_property	seek
1.0	0.8248	at the same time	0.4561	cry	twin
0.0295	0.8616	linear	0.4561	has_movement	bent
0.0042	0.9403	water	0.4561	be in	poisonous substance
1.0	0.7726	shoes	0.4561	sew	ballet dancer
0.0031	0.9283	banned	0.4561	has_property	bean plant
0.2432	0.8707	canada	0.4561	get elected in	mp
0.7835	0.7373	recreational boat	0.4561	hold in	anchor
0.0007	0.8951	are	0.4561	can	nickname
0.0075	0.9393	to be refrigerated	0.4561	need	pumpkin pie
0.0015	0.9182	better	0.4561	has_manner	octane
0.0005	1.0	to	0.4561	has_property	normal
1.0	0.9334	easy a	0.4561	be in	orange
0.5601	0.9011	in jelly	0.4561	has_property	gefilte fish
0.0268	0.7963	manual	0.456	has_property	driving
0.0007	0.9192	do	0.456	can	semiconductor
0.0035	0.8781	rid	0.456	get	butterfly
0.0084	0.9005	bacteria	0.456	kill	salt
0.1409	0.907	energy	0.456	can save	panel
1.0	0.8676	college	0.456	be paid in	tuition
0.3714	0.8872	in the big 4	0.456	has_property	anthrax
0.4944	0.904	champions league	0.456	work in	pot
0.3227	0.7788	two rotors	0.456	have	some helicopters
0.0913	0.8494	in once upon a time	0.456	die	henry
0.0003	0.9561	spanish	0.456	be in	charcoal
0.0775	0.7937	christianity	0.456	relate to	spirituality
0.916	0.8348	electromagnetic radiation	0.456	be called	electromagnetic wave
