subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
syphilis	has_property	iq	0.0639	0.8815	0.0007
syphilis	has_property	ie	0.0639	0.8142	0.0038
birr	has_property	dan	0.0639	0.91	0.0003
salad	can	quiet	0.0639	0.7707	0.0004
shift	has_property	winter	0.0639	0.9464	0.0005
spermatocyte	has_property	haploid	0.0639	0.8915	0.0114
laser	has_property	radioactive	0.0639	0.8862	0.0018
laser	has_property	identical	0.0639	0.8947	0.0004
tattoo	has_trait	nice	0.0639	0.9464	0.0005
bike	has_property	rt1	0.0639	1.0	1.0
pit	has_property	pay	0.0639	0.9188	0.0004
confit	can	preserve	0.0639	0.8155	0.098
scare	can	videos	0.0639	0.8598	0.1515
west	has_property	sci	0.0639	0.9474	0.0054
theoriser	has_property	italian	0.0639	0.9582	0.0004
stole	has_property	vs sash	0.0639	0.7653	0.782
morning	has_property	equal	0.0639	0.8998	0.0004
ireland	has_property	ii	0.0639	0.9133	0.0016
jem	tell	attics what happened with the pants	0.0639	0.728	1.0
thresher shark	can	zip	0.0639	0.8974	0.0003
underground railroad	be	established	0.0639	0.8428	0.001
republic	has_property	day	0.0639	0.938	0.0002
cloud	can behind	can sun	0.0639	0.9269	1.0
steering wheel	has_property	typical	0.0639	0.7701	0.0006
cheque	has_property	available	0.0639	0.928	0.0002
shouting	has_color	yellow	0.0639	0.9462	0.0
hawaiian	has_property	mp3	0.0639	0.8867	0.0001
hawaiian	has_property	cut	0.0639	0.9181	0.0002
sink	be attached to	quartz	0.0639	0.8547	1.0
fashion	change over	time	0.0639	0.9138	0.0011
akee	has_trait	quiet	0.0639	0.8833	0.0001
band	has_property	any	0.0639	0.8546	0.0011
claim	has_property	dan	0.0639	0.91	0.0003
timer	has_property	app	0.0639	0.9323	0.0007
potassium	interact with	sodium	0.0639	0.8448	1.0
orphan	has_property	ill	0.0639	0.9015	0.0003
fart	has_property	global	0.0639	0.9252	0.0009
pit	has_property	died	0.0639	0.863	0.0007
uranium ore	be mined in	australia	0.0639	0.8822	0.0385
company	can	support	0.0639	0.8492	0.0202
pit	has_property	twice	0.0639	0.9126	0.0003
technique	has_property	uk	0.0639	0.9583	0.0001
technique	has_property	mm	0.0639	0.9549	0.0002
technique	has_property	went	0.0639	0.8425	0.0003
technique	has_property	osmosis	0.0639	0.859	0.0014
north	has_property	text	0.0639	0.9462	0.0001
caiman	has_property	alike	0.0639	0.8878	0.0002
coumadin	has_property	working	0.0639	0.9281	0.0001
nonmetal	has_property	sir lana	0.0639	0.9297	0.0002
bike	has_property	ldshadowlady	0.0639	1.0	0.0523
