local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0618	0.8531	aqua man	0.9464	has_property	connecting
0.0151	0.7817	abandoned	0.9464	has_property	cold
0.0077	0.7411	ottawa	0.9464	has_property	wen
0.0077	0.6316	oars	0.9464	has_property	true
0.0022	0.7721	toque	0.9464	has_property	true
0.171	0.8292	rhodes	0.9464	has_property	ov
0.0573	0.7386	androgen	0.9464	has_property	ov
0.0183	0.8895	pd	0.9464	be free	smith
0.3475	0.6593	eureka	0.9464	has_property	wen
0.0111	0.7717	wynn	0.9464	has_property	chanel
1.0	1.0	wfj	0.9464	has_property	chanel
1.0	1.0	ytterdörr	0.9464	has_property	wen
0.0158	0.8198	ukraine	0.9464	has_property	wen
0.0022	0.7721	toque	0.9464	has_property	wen
0.9151	0.7623	optima	0.9464	has_property	wen
1.0	1.0	dpa2412	0.9464	has_property	wen
1.0	0.7918	the need to talk about taking a crap	0.9464	feel	man
0.036	0.7414	typed	0.9464	has_property	green
0.0066	0.8605	gwen	0.9464	has_property	green
0.0156	0.9153	night	0.9464	has_property	ru
0.7056	0.7488	fever	0.9464	occur during	shivering
0.0073	0.6919	scripted	0.9464	has_property	green
0.0137	1.0	pwllheli	0.9464	has_property	green
0.3409	1.0	lloydminster	0.9464	has_property	green
0.4073	0.6072	iota	0.9464	has_property	green
0.0047	0.9015	gpa	0.9464	has_property	green
0.0206	1.0	gnp	0.9464	has_property	green
0.0123	0.7348	gmbh	0.9464	has_property	green
0.0053	0.839	bjj	0.9464	has_property	green
0.1134	0.6189	aquaponics	0.9464	has_property	green
0.0089	1.0	ahmadabad	0.9464	has_property	green
0.2966	1.0	aesop	0.9464	has_property	green
0.0105	1.0	tqm	0.9464	has_property	green
0.0246	0.7065	tab	0.9464	has_property	middle
0.625	0.8082	upload	0.9464	has_property	video
0.6407	0.8041	lights	0.9464	can	northern
0.1485	0.8953	facebook	0.9464	has_property	messenger
0.0037	0.8438	measured	0.9464	has_movement	needle
0.4437	0.7381	knit	0.9464	has_property	fin
1.0	0.6683	earth as a system	0.9464	view	scientist
0.0053	0.8771	age	0.9464	has_property	simpson
0.0128	0.7683	original	0.9464	has_trait	messenger
0.0075	0.8635	green	0.9464	turn	mucus
0.0146	0.765	wiki	0.9464	has_property	story
0.0594	0.8678	watching	0.9464	be	worth
0.0069	0.8794	skin	0.9464	has_body_part	controller
1.0	0.6482	immigrated	0.9464	has_property	irish
0.111	0.6421	ova	0.9464	has_property	titan
1.0	1.0	laotian	0.9464	has_property	titan
0.0038	0.8884	awesome	0.9464	has_property	green
1.0	0.799	all the time	0.9464	wear	priest
0.0079	0.9032	hbo	0.9464	has_property	story
0.2321	0.7835	transformed	0.9464	has_property	hulk
0.0148	0.6001	mfg	0.9464	has_property	story
0.0017	0.8048	tlc	0.9464	has_property	recording
0.1253	0.7848	pbx	0.9464	has_property	recording
0.1495	0.6416	iheartradio	0.9464	has_property	recording
1.0	0.7238	examples	0.9464	repeat	scientist
0.0015	0.8849	cd	0.9464	has_property	steam
0.0018	0.9084	bbc	0.9464	has_property	wifi
0.1254	0.9614	east	0.9464	has_movement	devi
0.0038	0.7785	matt	0.9464	has_property	messenger
1.0	0.7575	gold rush	0.9464	use lucifer on	parker
0.2912	0.6524	tool	0.9464	snip	pinter
0.1245	0.8643	cycles	0.9464	has_property	big brother
0.0032	0.8186	created	0.9464	has_property	big brother
0.0027	0.7917	cbc	0.9464	has_property	big brother
0.0076	0.9035	top	0.9464	has_property	ha
0.006	0.8414	american	0.9464	has_property	messenger
0.0022	0.9059	eat	0.9464	can	lobster
0.0066	0.8405	equal	0.9464	has_property	spa
0.0769	0.9567	arabic	0.9464	has_property	messenger
0.0051	0.8287	per	0.9464	has_property	newborn
0.0054	0.9536	irish	0.9464	has_property	beef
0.0013	0.8652	mp3	0.9464	has_property	red
0.002	0.7884	aquatic	0.9464	has_property	map
0.0736	0.7995	mob	0.9464	has_property	air conditioning
0.0013	0.8647	healthy	0.9464	has_trait	gauntry
0.6764	0.8349	sushi	0.9464	be used in	seaweed
0.1185	0.8107	android	0.9464	has_property	messenger
0.0123	0.8225	about	0.9464	has_place	marvel
0.0536	0.8222	outlook	0.9464	has_property	messenger
0.0022	0.9447	pa	0.9464	has_property	internee
0.5582	0.796	jail	0.9464	need money in	inmate
0.012	0.8979	iva	0.9464	has_property	phone number
0.0115	0.8358	loud	0.9464	has_property	messenger
0.1462	0.7899	skins	0.9464	has_body_part	io
0.022	0.8203	tested	0.9464	has_property	vaccine
0.2874	0.7867	outside the body	0.9464	hang	testes
0.0028	0.8815	fly	0.9464	can	bullet
0.3054	0.8145	dates	0.9464	has_property	tour
0.5815	0.639	dynamo	0.9464	has_property	steam
0.0355	0.7204	outlet	0.9464	has_property	usa
0.0064	0.7889	awarded	0.9464	has_property	usa
0.0156	0.7928	tom	0.9463	has_property	usa
0.026	0.8338	snake	0.9463	has_movement	messenger
0.2369	0.6051	oscilloscope	0.9463	has_property	messenger
0.0027	0.8902	ohio	0.9463	has_property	messenger
0.0463	0.7968	obituaries	0.9463	has_property	messenger
0.0027	0.8275	lyrics	0.9463	has_property	messenger
0.0027	0.8275	lyrics	0.9463	has_property	messenger
0.0407	0.9571	german	0.9463	has_property	classical composers
0.0052	0.9416	car	0.9463	has_property	growing
0.0896	0.7333	iguana	0.9463	has_property	red
0.3878	0.6573	fixtures	0.9463	has_property	football
