subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
astronaut	be in	space	1.0	0.9066	0.0203
waterfall	run out of	water	1.0	0.8547	0.0632
plant	grow in	light	1.0	0.826	0.9384
antibiotic	work on	bacteria	1.0	0.8097	0.7525
husky	has_property	dog	1.0	0.9146	0.0058
star	move	in the sky	1.0	0.9092	0.2544
student	go to	school	1.0	0.8501	0.054
dog	see in	black	1.0	0.8596	0.2683
airplane	have	window	1.0	0.8406	0.2512
neutron	have	charge	1.0	0.8361	0.0413
plant	get	water	1.0	0.9445	0.006
plant	use	light	1.0	0.8221	0.0473
bride	wear	white	1.0	0.9433	0.0169
killer whale	kill	whales	1.0	0.8267	0.2202
restriction enzyme	cut	dna	1.0	0.7655	0.3437
dolphin	live in	ocean	1.0	0.9167	0.0277
hurricane	form in	ocean	1.0	0.8134	0.194
human	see	light	1.0	0.8038	0.494
common sense	has_property	common	1.0	0.8892	0.0111
virus	have	cell	1.0	0.8934	0.2825
cat	has_property	pet	1.0	0.9399	0.0105
soccer	be called	football	1.0	0.8573	0.2038
golden retriever	has_property	dog	1.0	0.9146	0.0058
hurricane	form over	ocean	1.0	0.7982	0.7791
sea	has_color	blue	1.0	0.9415	0.0019
blood cell	has_color	red	1.0	0.9175	0.0012
developer	make	games	1.0	0.8451	0.2316
shark	eat	sharks	1.0	0.8123	0.4069
whale	eat	fish	1.0	0.8908	0.0263
dalmatian	have	spots	1.0	0.8624	0.0238
mountain	have	snow	1.0	0.9056	0.2151
koala	live in	australia	1.0	0.8657	0.0617
animal	eat	animals	1.0	0.8817	0.0934
plant	absorb	light	1.0	0.8787	0.0453
belief	be in	god	1.0	0.9462	0.1656
friend	be with	benefits	1.0	0.7933	0.9493
dog	can see in	black	1.0	0.8625	0.5014
balloon	float in	air	1.0	0.7855	0.1379
spider	build	web	1.0	0.7084	1.0
japanese	eat	rice	1.0	0.8432	0.0836
house	have	window	1.0	0.8406	0.2512
ant	carry	other ants	1.0	0.7483	1.0
rattlesnake	can	rattle	1.0	0.6806	0.3256
beach	have	sand	1.0	0.8446	0.1645
cloud	appear	white	1.0	0.8513	0.0796
insect	has_body_part	wings	1.0	0.8383	0.0174
substance	dissolve in	water	1.0	0.9155	0.0127
teacher	can	teach	1.0	0.8271	0.1237
fossil	form in	rock	1.0	0.8145	0.5022
human	has_body_part	toe	1.0	0.7842	0.1336
living thing	be made of	cells	1.0	0.8944	0.2302
crab	have	shell	1.0	0.8279	0.0798
peacock	have	feather	1.0	0.7113	0.3333
atomic mass	has_property	whole number	1.0	0.8555	0.1033
satellite	be in	space	1.0	0.8999	0.0203
dog	see in	white	1.0	0.8667	0.2536
camel	live in	desert	1.0	0.9809	0.0204
dog	see	black	1.0	0.8667	0.2287
ant	walk	in a straight line	1.0	0.8953	0.148
guy	make	move	1.0	0.7886	0.7167
cow	have	milk	1.0	0.8834	0.0915
plant	need	water	1.0	0.8665	0.0091
car	run on	gas	1.0	0.7696	0.9183
mosquito	bite	human	1.0	0.8025	1.0
lake	have	tides	1.0	0.7898	0.1096
animal	lay	egg	1.0	0.8966	0.1443
plant	has_color	black	1.0	0.9414	0.0018
waiter	get	paid	1.0	0.9029	0.0027
tree	lose	leaves	1.0	0.836	0.0345
plant	have	flowers	1.0	0.8933	0.0473
school	wear	uniform	1.0	0.9021	0.0645
seed	grow into	plant	1.0	0.8687	1.0
mosquito	carry	disease	1.0	0.7883	0.2279
animal	has_property	pet	1.0	0.9399	0.0105
banana	turn	yellow	1.0	0.8661	0.0027
astronaut	go into	space	1.0	0.8708	0.2353
antibiotic	kill	bacteria	1.0	0.883	0.0185
house	be in	america	1.0	0.9521	0.0135
horse	has_body_part	hoof	1.0	0.6877	1.0
baby	move in	womb	1.0	0.8537	0.8711
shark	eat	fish	1.0	0.8815	0.0263
spider	stick to	web	1.0	0.685	1.0
helicopter	fly at	night	1.0	0.8251	0.047
mosquito	carry	malaria	1.0	0.7603	1.0
german shepherd	has_property	dog	1.0	0.9146	0.0058
