subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
beetle	lay on	backs	0.1222	0.847	0.014
dermatitis	can go	away	0.1222	0.8994	0.0083
filter	can	last	0.1222	0.797	0.0009
animal	have	dust baths	0.1222	0.912	0.0804
lady	play hard	to get	0.1222	0.8861	0.0268
marginal cost	equal	marginal revenue	0.1222	0.8437	1.0
arrack	can	go	0.1222	0.9115	0.0003
botulism	can	fire	0.1222	0.8744	0.0041
venture	can	use	0.1222	0.8979	0.0002
java	has_movement	running	0.1222	0.9301	0.0006
lime	go	hard	0.1222	0.8531	0.0201
polymer	has_property	ut	0.1222	0.8476	0.0138
amino acid	has_property	autism	0.1222	0.9468	0.0046
fred	start	the car in the flintstones	0.1222	0.8614	1.0
dietician	can	award	0.1222	0.8782	0.0013
jax	walk	funny	0.1222	0.8506	0.0088
mask	be worn during	ceremonies in africa	0.1222	0.7117	1.0
protein	make	farts smell	0.1222	0.9283	0.3655
penicillin	be important to	us	0.1222	0.9812	0.001
snail	has_property	get	0.1222	0.8796	0.0004
rain	be in	uttarakhand	0.1222	0.9585	0.3778
blue cheese	be free	gluten	0.1222	0.9553	0.016
settler	work in	fallout 4	0.1222	0.9422	0.0135
foreigner	come	singapore	0.1222	0.8826	0.1063
al capone	related	to the great gatsby	0.1222	0.8049	1.0
toast	can	add	0.1222	0.8512	0.0051
flower	can	oil	0.1222	0.8756	0.0008
planet	change	color	0.1222	0.9189	0.0013
cupper	can	are	0.1222	0.8951	0.0002
hope	relate to	christmas	0.1222	0.8431	0.0258
budget	can be	helpful	0.1222	0.9296	0.0085
benadryl	can	gum	0.1222	0.8143	0.0107
benadryl	can	fly	0.1222	0.9121	0.0004
benadryl	can	fine	0.1222	0.7794	0.0007
princess	can wear	nail polish	0.1222	0.956	0.0613
bengal	do with	other cats	0.1222	0.9179	1.0
track meet	has_property	on specify	0.1222	0.9572	0.0006
ingot	has_property	sliced	0.1222	0.8902	0.0303
blitzkrieg	has_property	bop	0.1222	0.8889	0.0043
watermelon	has_property	veto	0.1222	0.9493	0.0005
astrophysicist	can	do	0.1222	0.9192	0.0002
catalytic converter	be fitted to	car exhausts	0.1222	0.7866	1.0
molecule	has_property	related	0.1222	0.9432	0.0003
robin	can	know	0.1222	0.9079	0.0004
business traveler	be important to	tourism industry	0.1222	0.9151	0.4445
fishing	has_property	beneficial	0.1222	0.9172	0.001
acronym	can	twinkle	0.1222	0.8178	0.0084
cavalier	can	tickets	0.1222	0.8912	0.0034
