subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
roller coaster	has_property	sir lana	0.0555	0.9297	0.0002
tonsillectomy	has_property	do	0.0555	0.9348	0.0002
croup	affect	lungs	0.0555	0.9786	0.0052
incineration	has_property	bad for the environment	0.0555	0.9831	0.0006
disney	make	money	0.0555	0.945	0.0001
lettuce	have	use by date	0.0555	0.8991	0.0095
class	has_property	tqm important	0.0555	0.9638	0.0013
bacterium	relate	spoiling	0.0555	0.7155	1.0
beach	get	blue flag	0.0555	0.8638	1.0
addiction	involve	nervous system	0.0555	0.8596	1.0
ben	solo go by	kyle men	0.0555	0.7378	1.0
class	has_property	sir lana	0.0555	0.9297	0.0002
africa	be defined as	continent	0.0555	0.8712	1.0
africa	has_property	pa	0.0555	0.9447	0.0001
automatic	had	extension work	0.0555	0.7664	1.0
marketer	can alter	beliefs about product	0.0555	0.7452	1.0
radical	has_property	aquatic	0.0555	0.874	0.0001
radical	has_property	cd	0.0555	0.9474	0.0001
private school	has_property	charities	0.0555	0.859	0.1605
imac	get	hot	0.0555	0.9191	0.0004
aquifer	has_property	alike	0.0555	0.8878	0.0002
circle	has_property	ff xiv	0.0555	0.9577	0.0002
bleach	remove	stains chemistry	0.0555	0.869	1.0
ftp	be calculated	gamin	0.0555	0.8724	1.0
liparidae	has_property	journal	0.0555	0.8303	0.0011
sewer	can	exist	0.0555	0.891	0.0001
stop	has_property	cd	0.0555	0.9474	0.0001
tambocor	can	work	0.0555	0.9421	0.0
montana	calculate	property tax	0.0555	0.8283	0.0654
senate	confirm	federal judges	0.0555	0.7326	1.0
obesity	has_property	increasing	0.0555	0.8902	0.0015
fatigue	affect	workplace performance	0.0555	0.8835	1.0
armor	have	elements destiny 2	0.0555	0.8224	1.0
malignant tumor	has_property	different from benign tumors	0.0555	0.8043	0.6336
rabies	can	contracted	0.0555	0.7938	0.0326
con	be popular in	modern-day culture	0.0555	0.8831	1.0
lymph node	swell	when fighting infection	0.0555	0.7944	1.0
basketball court	has_property	change	0.0555	0.9293	0.0015
wage	be lower than	medicare wages	0.0555	0.8273	0.3678
gunk	has_property	ignite	0.0555	0.8278	0.0007
aquatic mammal	has_property	related	0.0555	0.961	0.0001
gossiper	quote	work	0.0555	0.7159	0.0276
clothes	can	expire	0.0555	0.8774	0.0003
injury	has_property	history	0.0555	0.943	0.0015
reflection	affect	object 's color	0.0555	0.8774	1.0
marie antoinette	be named	queen of debt	0.0555	0.7306	1.0
deck	has_color	yellow	0.0555	0.9462	0.0
baking soda	burn on	poison ivy	0.0555	0.8594	0.4229
steering	has_manner	straight	0.0555	0.8776	0.0022
toilet	has_property	put	0.0555	0.891	0.0002
breach	CAN	can prevented	0.0555	0.951	0.0035
price	has_property	vac	0.0555	0.8961	0.0003
scarce	lose	subs	0.0555	0.743	0.3514
banana	be ok for	dogs	0.0555	0.8823	0.0053
perfume	affect	asthma	0.0555	0.8234	0.014
stop	has_property	gil	0.0555	0.901	0.0013
female	have	vaginae	0.0555	0.9069	0.0662
partner	can	vote	0.0555	0.8744	0.0002
jew	make	beer	0.0555	0.856	0.015
band	has_property	matt	0.0555	0.9474	0.0002
seller	be removed from	ebay	0.0555	0.8251	0.3515
bird	can	quit	0.0555	0.8937	0.0001
natural language processing	be used in	business	0.0555	0.9412	0.002
joseph stalin	relate	to napoleon in animal farm	0.0555	0.8988	1.0
abc	can	die	0.0555	0.9049	0.0001
piper	smell	bad	0.0555	0.9472	0.0004
item	has_property	unavailable in apple music	0.0555	0.9078	0.6387
mayonnaise	be not	yellow	0.0555	0.9241	1.0
paint	have	kelly yaw	0.0555	0.9616	0.0275
asset	has_property	frozen	0.0555	0.9509	0.0038
childcare	has_property	an issue for business managers	0.0555	0.8171	0.3333
circle	has_property	sir lana	0.0555	0.9297	0.0002
alcohol	make	tm worse	0.0555	0.7568	1.0
