local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.8493	portugal	0.1495	be national animal of	rooster
1.0	0.8405	boeing 737	0.1495	fly	southwest
0.7682	0.945	dorsal fins	0.1495	have curved	orca
0.0179	0.8404	tight	0.1495	get	face mask
0.0071	0.8511	mate	0.1495	find	pigeon
1.0	0.724	a habit of cutting in line	0.1495	have	parisian
0.0218	0.9218	leis vegas	0.1495	be in	comp
0.0008	0.8967	kill	0.1495	can	wolverine
1.0	0.8405	gun	0.1495	be bad for	firing
1.0	0.8791	to be cleared	0.1495	need	trade
1.0	0.8146	europe	0.1495	be influenced by	england
0.1316	0.8891	arm	0.1495	be lower in	bp
0.0485	0.8141	jewel	0.1495	can	knife
0.1392	0.7971	intelligence	0.1495	affect	nature
0.0302	0.933	in the dark	0.1495	grow	mung bean
0.0179	0.8625	carpet	0.1495	have	vehicle
0.0013	0.9585	environment	0.1495	help	wave
0.4565	0.7645	bleach spots	0.1495	get	towel
1.0	0.7007	mobile deposits	0.1495	limit	bank
0.3559	0.8089	ever note	0.1494	work in	stack
0.0006	0.9407	la	0.1494	has_property	plant
1.0	0.8376	organizational culture	0.1494	can influence	leader
1.0	0.8108	roads	0.1494	can operate on	motorcycle
0.0129	0.9529	commonwealth	0.1494	be in	cyprus
0.0009	0.9076	brown	0.1494	turn	mole
0.0002	0.9376	white	0.1494	has_color	glider
0.4367	0.7552	reality	0.1494	represent	map
0.001	0.9152	it	0.1494	has_property	hors d'oeuvre
0.001	0.9552	usa	0.1494	has_property	cash
1.0	0.8823	famous during the renaissance	0.1494	has_property	william shakespeare
0.0235	0.9527	digestion	0.1494	help	vegetable
0.0001	0.9111	vegan	0.1494	has_diet	durian
0.0012	0.9505	treated	0.1494	be	insomnia
0.0083	0.9099	transmitted	0.1494	can	thrush
0.8972	0.8807	pension	0.1494	have	widow
0.0001	0.9389	made	0.1494	has_property	bow
0.1112	0.8906	bladder infections	0.1494	get	toddler
0.3177	0.7961	signatures	0.1494	have	serial killer
0.002	0.8609	aqua	0.1494	has_property	pillow
0.0367	0.9723	mexico	0.1494	be important in	chocolate
0.0647	0.8635	middle names	0.1494	have	people
0.0025	0.8919	care	0.1494	take	husky
0.0601	0.7607	smoke	0.1494	detect	fire alarm
0.0238	0.8103	themselves	0.1494	market	accountant
0.0763	0.8551	itchy	0.1494	become	varicose vein
0.1303	0.8012	neck	0.1494	appear on	line
0.0033	0.9568	italy	0.1494	has_property	gesture
0.133	0.9464	captivity	0.1494	can survive in	narwhal
1.0	0.6892	the crowd against the conspirators	0.1494	turn	mark antony
1.0	0.8139	more concerned with the study of human behavior than with the study of the human mind	0.1494	has_property	psychologist
0.0001	0.942	expensive	0.1494	has_property	blueberry
1.0	0.8876	anything	0.1494	can get away with	cop
1.0	0.8399	to thought	0.1494	relate	language
0.0109	0.8698	yummy	0.1494	has_property	candy
0.2211	0.858	holidays	0.1494	be open on	store
0.3495	0.8903	golden age	0.1494	be known as	han dynasty
0.1051	0.8802	mrs	0.1494	get	toddler
0.0272	0.9162	students	0.1494	can help	counselor
0.0513	0.863	value	0.1494	increase in	stamp
1.0	0.8322	to understand economics	0.1494	need	entrepreneur
0.0012	0.9335	christmas	0.1494	celebrate	hong kong
0.4921	0.8581	common on earth	0.1494	has_property	plasma
0.0601	0.748	antisocial	0.1494	has_property	nerd
0.0135	0.8594	conservative	0.1494	has_trait	nerd
0.0002	0.945	money	0.1494	make	future
0.0005	0.9409	man	0.1494	has_property	kiwi
0.654	0.8141	diabetes	0.1494	cure	pancreas transplants
0.0003	0.8692	was	0.1494	can	topic
