local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.7681	medical care	0.3088	seek	patient
0.0008	0.8893	yellow	0.3088	turn	coke
1.0	0.8795	in the spinal cord	0.3088	decussate	nerve
0.0311	0.8553	books	0.3088	can	goosebump
1.0	0.86	180	0.3088	add	triangle
0.0005	0.8462	czech	0.3088	has_property	communism
0.4045	0.9352	new england	0.3087	be called	patriot
0.0006	0.9451	green	0.3087	has_color	ex
0.0078	0.8942	gun	0.3087	has_property	ngu
1.0	0.7587	cables	0.3087	send	diplomat
0.102	0.8481	period	0.3087	hurt during	foot
0.1148	0.8949	symmetry	0.3087	have	sponge
0.9233	0.7847	cohesion	0.3087	has_property	hydrogen bond
0.0095	0.8959	fl	0.3087	has_property	coral
0.108	0.8784	queen elizabeth ii	0.3087	be related to	elizabeth i
0.002	0.8936	it	0.3087	has_property	sniff
1.0	0.7033	the color of the dinosaurs	0.3087	decide	scientist
0.0009	0.9018	fly	0.3087	can	horse
0.0035	0.9263	king	0.3087	has_property	luther
0.0096	0.8784	young	0.3087	care for	sea star
0.0002	0.9561	spanish	0.3087	be in	probe
0.0134	0.8803	de	0.3087	has_property	galan
0.1212	0.9602	rain	0.3087	be in	fishing
0.0666	0.9415	the earth's surface	0.3087	change	gravity
1.0	0.7727	prideful in the book of ruth	0.3087	be	ruth
0.0001	0.8642	work	0.3087	can	subservience
0.5195	0.7976	hulk	0.3087	be afraid of	widow
0.0005	0.9142	is	0.3087	has_property	raisin
0.117	0.9277	a new	0.3087	has_property	jonathan
1.0	0.7794	satsumas	0.3087	be called	satsuma
0.0129	0.8267	hello	0.3087	say	nerd
1.0	0.7172	against the rock	0.3087	push	ice
0.3262	0.7993	used in cloning	0.3087	has_property	restriction enzyme
1.0	0.8131	as an exothermic reaction	0.3087	considered	respiration
0.1377	0.8867	underworld	0.3087	go to	ishtar
0.0146	0.9436	in the body	0.3087	be absorbed	tylenol
0.0021	0.9001	today	0.3087	has_time	moravia
0.0284	0.8119	pain	0.3087	reduce	compression
0.0084	0.8292	sound	0.3087	produce	whistle
1.0	0.8947	to let creon go	0.3087	decide	oedipus
0.0021	0.9061	fun	0.3087	has_property	good day
0.5845	0.8778	track of cars	0.3087	keep	railroad
0.0758	0.8823	fans	0.3087	need	phone
0.1361	0.8136	mud	0.3087	play in	duck
0.8102	0.8555	jsx	0.3087	can read	browser
0.1854	0.9049	development	0.3087	be important to	play
0.6771	0.5793	entrapment	0.3087	has_property	sting
0.0434	0.8976	california	0.3087	be important to	disneyland
0.0048	0.8544	snapping	0.3087	has_property	peptide
0.0166	0.7069	squatting	0.3087	has_property	peptide
0.2789	0.8366	nausea	0.3087	stop	cracker
0.1377	0.8501	hungarian	0.3087	be in	guardian angel
0.0126	0.9328	make	0.3087	be used	wool
0.0001	0.9389	made	0.3087	has_property	cobweb
0.0242	0.8166	flirt	0.3087	can	scorpio
0.0665	0.7939	sun	0.3087	bask in	painted turtle
1.0	0.7115	doors	0.3087	pick in	lock
0.0025	0.8722	unhealthy	0.3087	has_trait	wheat
0.1363	0.9324	in straight lines	0.3087	travel	wind
1.0	0.9351	to lay eggs	0.3087	like	chicken
1.0	0.6917	before they pounce	0.3087	wiggle	cat
0.0328	0.7832	nasty	0.3087	has_trait	tap water
0.6062	0.7573	diabetics	0.3087	heal slowly in	wound
1.0	0.7455	see through	0.3087	become	legging
0.0008	0.8943	not	0.3087	has_property	bridge
1.0	0.6003	infant attention	0.3087	typically study	researcher
0.0037	0.9403	water	0.3087	has_property	blood
0.0007	0.8908	similar	0.3087	has_property	history
0.0002	0.9125	yellow	0.3087	has_color	panel
0.0006	0.9415	blue	0.3087	has_color	pottery
0.3918	0.7989	pairs	0.3087	walk in	goose
1.0	0.7971	hair	0.3087	improve	henna
0.4532	0.8837	other countries	0.3087	be better than	australia
0.0006	0.8633	mean	0.3087	can	naivete
0.0088	0.8074	jump	0.3087	has_movement	jumping bean
0.7279	0.8694	brown in water	0.3087	has_property	iodine
0.0508	0.9017	organic	0.3087	can be	salt
0.002	0.8289	zone	0.3087	can	tow
0.0004	0.9384	be	0.3087	can	bedding
1.0	0.716	to depreciation of currency	0.3087	lead	inflation
0.0062	0.9585	the environment	0.3087	help	italy
0.0001	0.9414	bad	0.3087	has_property	logging
0.0016	0.8932	gym	0.3087	has_property	bridge
0.1352	0.9159	night	0.3086	go away at	morning sickness
1.0	0.8877	as a cultural symbol in canada	0.3086	be	hockey
1.0	0.8079	first on scene	0.3086	has_property	firefighter
0.0051	0.9393	to be refrigerated	0.3086	need	carbonated beverage
1.0	0.8754	the ecosystem	0.3086	change	zebra mussel
0.0235	0.8965	pokemon	0.3086	work in	region
1.0	0.7902	society	0.3086	promote inequality in	advertisement
1.0	0.8633	the valence electrons in a metal	0.3086	model	chemist
0.012	0.9159	in demand	0.3086	has_property	registered nurse
0.0018	0.9018	white	0.3086	turn	pubic hair
0.0016	0.8853	square	0.3086	has_property	bottled water
0.0039	0.8695	ski	0.3086	has_property	bottled water
0.0084	0.8513	nutrition	0.3086	has_property	bottled water
0.0133	0.9516	october	0.3086	has_property	football game
0.1136	0.9458	effect	0.3086	be in	firework
0.0079	0.8638	scream	0.3086	can	fish
1.0	0.8404	as the ancient capital of egypt	0.3086	be chosen	memphis
0.8539	0.8474	shoes	0.3086	be better than	boot
0.9297	0.7442	buildings earthquake proof	0.3086	make	architect
0.0003	0.8827	jump	0.3086	can	forearm
0.2904	0.8561	winter	0.3086	sweat in	hand
0.7357	0.8532	at the back of the orchestra	0.3086	has_property	brass instrument
1.0	0.8138	to be the capital of the byzantine eastern roman empire	0.3086	be chosen	constantinople
0.028	0.8675	yellow	0.3086	become	eyeball
1.0	0.7988	connect to other bones	0.3086	need cartilage	bone
0.0006	0.8661	old	0.3086	has_time	gamine
0.0311	0.8905	statistics	0.3086	be important in	standardization
0.0022	0.8846	dry	0.3086	has_weather	buttercup squash
0.0291	0.9285	electricity	0.3086	be good conductor of	wood
0.261	0.9031	person	0.3086	can help	family members
0.1506	0.8349	knives	0.3086	carry	bikers
0.0008	0.8838	pm	0.3086	has_property	bridge
0.2252	0.9144	marriage	0.3086	be for	ring finger
1.0	0.906	in the playoffs	0.3086	play	irving
0.0227	0.8929	together	0.3086	work	state
1.0	0.7873	care of grandchildren	0.3086	take	grandparent
0.1297	0.946	pictures	0.3086	be in	baby
1.0	0.8214	mass	0.3086	be calculated as	biomass
0.0067	0.9616	japan	0.3086	has_property	bowing
0.0075	0.8426	link	0.3086	has_property	encapsulation
1.0	0.8063	malaria	0.3086	give	mosquito
0.0682	0.9449	for skin	0.3086	has_property	neem good
1.0	0.8835	in the open	0.3086	die	roach
0.1193	0.7936	ape	0.3086	has_property	baboon
1.0	0.7469	in the world	0.3086	released	nine
1.0	0.6946	haiti	0.3086	grow crops in	farmer
0.1258	0.7829	medals	0.3086	wear	royal
1.0	0.9316	hot	0.3086	do get	wire
0.0114	0.8778	art	0.3086	be important in	colour
0.0002	0.9561	spanish	0.3086	be in	slat
0.0025	0.88	green	0.3086	turn	sterling silver
0.5882	0.8419	high in depression	0.3086	has_property	cortisol
0.386	0.8276	to flirt	0.3086	like	female
0.6883	0.774	israel	0.3086	affect	intifada
0.087	0.7582	death	0.3086	view	animal
0.0412	0.93	ionization energy	0.3086	have	oxygen
1.0	0.8492	shell	0.3086	lay eggs without	chicken
0.0008	0.8893	yellow	0.3086	turn	horse chestnut
1.0	0.88	a great influence to the american revolution	0.3086	be	thomas paine
1.0	0.7741	back to the colder waters instead of just staying in the warm waters	0.3086	migrate	whale
0.0021	0.8855	job	0.3086	has_property	internee
0.0016	0.9016	eyes	0.3086	has_body_part	bell
0.6141	0.8571	leukemia	0.3086	be high in	platelet
0.0009	0.8722	small	0.3086	has_property	novel
1.0	0.7688	paternity tests	0.3086	do	hospital
0.0082	0.9377	health	0.3086	has_property	virus
0.0001	0.8642	work	0.3086	can	intron
0.2732	0.8605	an in all	0.3086	has_property	mona
0.0127	0.8818	water quality	0.3086	affect	sulfate
1.0	0.8087	lower center of gravity	0.3086	have	woman
0.0039	0.9652	florida	0.3086	be in	summer
0.0006	0.8661	old	0.3086	has_time	fl
1.0	0.7988	two weeks to pregnancy	0.3086	add	doctor
0.0004	0.9412	red	0.3086	has_color	black pepper
0.5695	0.8083	the same	0.3086	remain	oxygen
1.0	0.7828	before the sharpener	0.3086	be sharpened	pencil
0.0015	0.9482	orange	0.3086	has_color	green light
0.6228	0.7626	lion	0.3086	help	sharp teeth
0.0021	0.9061	fun	0.3086	has_property	slide
0.4568	0.8707	converted to glucose	0.3086	can	fatty acid
0.4828	0.8958	abraham	0.3086	be related to	moses
0.002	0.9552	usa	0.3086	has_property	stitch
1.0	0.7975	the action of hormones	0.3086	regulate	feedback loop
1.0	0.886	protein	0.3086	be good for	whey
1.0	0.6934	as a continent	0.3086	struggle economically	europe
0.0055	0.8962	university	0.3086	has_property	orly
0.1093	0.8769	phone number	0.3086	ask for	app
0.3006	0.8915	large mouths	0.3086	have	largemouth bass
0.0359	0.818	depreciate	0.3086	can	firm
0.0007	0.806	put	0.3086	can	organization
1.0	0.8828	is important to the study of public relations	0.3086	has_property	value
1.0	0.8055	even calculation	0.3086	has_property	break
0.4556	0.8779	spain	0.3085	be cheap in	wine
0.1161	1.0	zirakpur	0.3085	has_property	collard greens
0.0927	0.9404	room	0.3085	be in	elephant
1.0	0.7893	graffiti	0.3085	put up	gang
0.0044	0.961	important in business	0.3085	has_property	law
