local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.8623	laying eggs suddenly	0.0705	stop	duck
1.0	0.8469	ted stockings	0.0705	wear	patient
0.0011	0.9135	end	0.0705	has_property	deer
1.0	0.7867	to declare independence from spain	0.0705	want	catalonia
0.0645	0.8033	mr	0.0705	affect	muscle
0.0001	0.9078	healthy	0.0705	has_trait	cyanobacteria
1.0	0.7793	hard cookies	0.0705	soften	bread
0.0042	0.9035	environment	0.0705	can help	rainforest
0.5111	0.8964	make	0.0705	use energy	plant cell
0.1934	0.8733	itchy skin	0.0705	cause	stress
0.1727	0.8616	oops important	0.0705	has_property	career
0.0182	0.9426	cuba	0.0705	has_property	coca cola
0.0012	0.8225	via	0.0705	has_property	earthquake
0.0014	0.8817	utility	0.0705	has_property	brit
0.0001	0.9544	bbc	0.0705	has_property	food color
0.0004	0.9156	pay	0.0705	has_property	potato bug
0.0003	0.916	pig	0.0705	has_property	potato bug
0.0008	0.9237	left	0.0705	has_movement	potato bug
0.0007	0.9171	him	0.0705	has_property	potato bug
0.0002	0.8473	put	0.0705	can	cauliflower
0.1795	0.8137	milwaukee	0.0705	be in	job
0.0001	0.8979	use	0.0705	can	lightning
1.0	0.8267	rangers song	0.0705	has_property	penny arcade
0.0326	0.8105	fuse	0.0705	can	disconnect
0.0005	0.9021	feel	0.0705	can	suffocation
0.0003	0.9109	types	0.0705	has_property	foundation
0.0005	0.8883	type	0.0705	has_property	psychic
1.0	0.8526	hell	0.0705	get saved from	dean
0.018	0.8899	high demand	0.0705	be in	therapy
1.0	0.8129	infection	0.0705	control	hospital
0.0002	0.9111	similar	0.0705	has_property	trump
0.0192	0.9641	can bad	0.0705	CAN	caper
1.0	0.8513	syndrome	0.0705	be born down	baby
1.0	0.7141	to refute tiresias claims	0.0705	try	jocasta
0.0197	0.9235	fat	0.0705	can	thigh
0.0001	0.9045	effective	0.0705	has_property	ipad
0.816	0.7951	sol	0.0705	hate	developer
0.0023	0.872	oat	0.0705	has_property	unit
0.0	0.9451	bad	0.0705	has_property	sprouting
1.0	0.7487	limited editions	0.0705	do	brand
0.4345	0.9449	distribution	0.0705	be in	job
0.3933	0.8263	nfl logo at midfield	0.0705	have	ram
0.5358	0.8642	amur leopards	0.0705	kill	human
0.0001	0.8827	jump	0.0705	can	jigsaw puzzle
0.0009	0.8749	square	0.0705	can	blur
0.0111	1.0	ahwatukee	0.0705	has_property	cv
0.0024	0.9136	slide share	0.0705	has_property	phallaceae
0.1422	0.8313	v bucks	0.0705	has_property	game
0.0003	0.9631	sol	0.0705	has_property	bise
0.0001	0.9463	different	0.0705	has_property	amoxicillin
0.0004	0.9424	gmt	0.0705	has_property	brit
0.0007	0.946	lcd	0.0705	has_property	brit
0.0005	0.8877	llama	0.0705	has_property	brit
0.0004	0.8687	ghosted	0.0705	has_property	brit
0.0003	1.0	gcse	0.0705	has_property	brit
0.0009	0.9287	cheaper	0.0705	has_property	brit
0.0018	1.0	lxi	0.0705	has_property	brit
0.0003	0.894	ajax	0.0705	has_property	brit
0.0007	1.0	nwt	0.0705	has_property	brit
