subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
cockatoo	has_property	dusty	0.0659	0.8381	0.0037
siren	has_property	creepy	0.0659	0.8451	0.0022
fuse	be placed in	live wire	0.0659	0.7995	0.3004
heavyweight	get	bigger	0.0659	0.9251	0.0011
enteron	can	die	0.0659	0.9049	0.0001
memphis	be chosen as	ancient capital of egypt	0.0659	0.8393	1.0
organic	has_property	healthier	0.0659	0.8737	0.0048
tea towel	has_color	black	0.0659	0.9414	0.0001
straw	has_property	vac	0.0659	0.8939	0.0004
telemarketing	has_property	illegal	0.0659	0.9492	0.0001
wrester	has_property	son	0.0659	0.9415	0.0005
wrester	has_property	bbc	0.0659	0.9544	0.0001
ringneck snake	can	zap	0.0659	0.8284	0.0034
ringneck snake	can	work	0.0659	0.9072	0.0
ringneck snake	can	reproduce	0.0659	0.9114	0.0002
ringneck snake	can	jump	0.0659	0.8827	0.0001
eutrophication	can	video	0.0659	0.8598	0.0068
eutrophication	can	gcse	0.0659	0.9277	0.5052
fire-on-the-mountain	has_property	ks2	0.0659	1.0	0.0019
fire-on-the-mountain	has_property	ode	0.0659	0.8157	0.007
fire-on-the-mountain	has_property	impact	0.0659	0.8652	0.0005
fire-on-the-mountain	has_property	aqueous	0.0659	0.8709	0.0012
fire-on-the-mountain	has_property	mentor	0.0659	0.8575	0.1028
fire-on-the-mountain	has_movement	fall	0.0659	0.9435	0.0067
monsoon	can	do	0.0659	0.9192	0.0001
some organisms	use	fermentation	0.0659	0.884	0.0172
paw	has_property	dow	0.0659	0.9449	0.0013
humpback whale	migrate to	polar seas	0.0659	0.7212	1.0
joke	has_property	on irish	0.0659	0.934	1.0
easter sunday	has_property	stat holiday	0.0659	0.8302	0.2239
soya bean	has_property	cereal	0.0659	0.9117	0.025
cardiovascular disease	has_property	an epidemic in the us	0.0659	0.8444	1.0
colombia	invest in	human capital	0.0659	0.8693	0.093
captain	can marvel	touch	0.0659	0.8212	1.0
dodge	has_property	tv	0.0659	0.9575	0.0003
goldfinch	eat	sunflower leaves	0.0659	0.8499	0.3333
cart	has_property	evil	0.0659	0.948	0.0005
some men	act really goofy	around one girl	0.0659	0.8477	1.0
strawberry	be better than	other fruits	0.0659	0.9166	1.0
great smoky mountains national park	has_property	did	0.0659	0.8698	0.0003
great smoky mountains national park	has_property	cut	0.0659	0.9181	0.0002
post	has_property	fiction	0.0659	0.951	0.0169
obesity	affect	cardiovascular system	0.0659	0.8578	0.013
nick	see	tom	0.0659	0.8451	1.0
heme	has_property	sir lana	0.0659	0.9296	0.0002
lysine	stop	cold sores	0.0659	0.8991	1.0
margarine	has_property	effects	0.0659	0.8967	0.0014
stamp	has_trait	nice	0.0659	0.9464	0.0005
brand	use	igtv	0.0659	0.8866	0.5823
skin	get	greasy	0.0659	0.8361	0.0147
golf course	has_property	worth	0.0659	0.9093	0.0002
capital gains tax	has_property	phd	0.0659	0.927	0.0002
capital gains tax	has_property	usa	0.0659	0.9552	0.0004
capital gains tax	has_property	fcc	0.0659	0.9214	0.0004
canada	has_property	ii	0.0659	0.9133	0.0017
pain	make	us angry	0.0659	0.8131	0.1459
update	can	pm	0.0659	0.8283	0.508
professional golfer	has_trait	quiet	0.0659	0.8833	0.0001
pinna	can	do	0.0659	0.9192	0.0001
major	has_property	nu	0.0659	0.8775	0.0026
wikipedia	check	information	0.0659	0.7748	1.0
ghb	be used as	drug	0.0659	0.947	0.0215
texture	has_property	oxidation	0.0659	0.8992	0.0013
texture	has_property	owed	0.0659	0.825	0.0025
texture	has_property	overrated	0.0659	0.8548	0.0022
texture	has_property	unidirectional	0.0659	0.7146	0.0038
texture	has_property	recd	0.0659	1.0	0.0005
texture	has_property	obsolete	0.0659	0.8446	0.0007
texture	has_property	dvd	0.0659	0.9348	0.0002
texture	has_property	duplicated	0.0659	0.8322	0.0273
texture	has_property	dkt70	0.0659	1.0	1.0
texture	has_trait	organized	0.0659	0.8851	0.0007
crp	has_property	diagnostic	0.0659	0.8334	0.2771
