subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
correlation coefficient	has_property	natural	0.031	0.8818	0.0003
boat	be buried	around some pyramids	0.031	0.9254	1.0
cheesecake	has_property	irish	0.031	0.9536	0.0002
red	be	dead revolver	0.031	0.7584	0.6894
monday	has_property	after the super bowl	0.031	0.9508	1.0
hungary	try	to shut down the eu	0.031	0.8012	1.0
bill-me order	has_property	made	0.031	0.9403	0.0
germany	blame	for starting ww1	0.031	0.8672	1.0
rate	be	for serious health problems unusually high among the residents of love canal new york	0.031	0.7253	1.0
thiamine	has_property	ionic	0.031	0.9283	0.0002
ranch	dress better in	restaurants	0.031	0.7602	1.0
carbonation	has_property	bad for athletes	0.031	0.943	0.0279
weather	has_property	2018	0.031	1.0	0.002
schubert	has_property	famous	0.031	0.9582	0.0001
seawater	has_property	ads	0.031	0.957	0.0001
stranger	like on	facebook	0.031	0.9101	0.0303
pronoun	has_property	bad	0.031	0.9451	0.0
clonus	can	happen	0.031	0.8823	0.0001
everyone	claim	friendship	0.031	0.7687	1.0
post	end up	"in "" controversial"	0.031	0.8502	1.0
fin	has_property	nfl	0.031	0.9702	0.0001
petition	need	amount of signatures	0.031	0.8023	1.0
humanism	be used in	everyday life	0.031	0.9658	0.0007
dental floss	has_property	symptom	0.031	0.9362	0.0187
catapult	attack	large walled castles	0.031	0.6795	1.0
leiomyoma	has_property	done	0.031	0.934	0.0001
pacific ocean	has_property	warmer than atlantic	0.031	0.8764	0.0509
going	vegan save	one animal's life per day	0.031	0.7388	1.0
bullfighting	has_time	just	0.031	0.9413	0.0008
dog	behave in	high temperatures	0.031	0.8465	1.0
dust storm	has_property	legal	0.031	0.9417	0.0001
dust storm	has_color	white	0.031	0.9376	0.0
quantization	has_property	calculated	0.031	0.9449	0.0001
email	has_property	management	0.031	0.9358	0.0047
cylinder	has_property	arranged	0.031	0.9383	0.0032
md	has_property	inherited	0.031	0.9036	0.0013
turpentine	be made	today	0.031	0.9102	0.0105
succour	has_property	pronounce	0.031	0.8872	0.0002
colostomy	has_property	normal	0.031	0.902	0.0003
sin city	have credits in	middle	0.031	0.8329	1.0
disguise	has_property	used in	0.031	0.974	0.0015
stuff	has_property	dr	0.031	0.9308	0.0002
wolverine	be at	risk	0.031	0.926	0.0008
lisbon	has_effect	dangerous	0.031	0.9489	0.0
lisbon	has_trait	romantic	0.031	0.8786	0.0015
minister	has_property	airplane	0.031	0.9523	0.0014
minister	has_property	ignored	0.031	0.9374	0.0001
minister	has_property	ain	0.031	0.802	0.0052
minister	has_property	awkward	0.031	0.9455	0.0007
minister	has_property	avis	0.031	0.8718	0.001
minister	has_property	idle	0.031	0.8306	0.0001
minister	has_property	iud	0.031	1.0	0.0001
minister	has_property	iphone	0.031	0.9573	0.0003
minister	has_property	ikea	0.031	0.8341	0.0002
readying	has_property	due	0.031	0.9004	0.0005
hamlet	has_trait	reliable	0.031	0.9442	0.0006
animal	be interrelated in	antarctica	0.031	0.882	1.0
gully	has_property	found	0.031	0.9445	0.0004
publishing	has_property	framework	0.031	0.8899	0.0133
national	has_property	university	0.031	0.9406	0.0005
asian	has_property	ft	0.031	0.9474	0.0001
predator	has_property	2 set	0.031	0.8925	1.0
mist	be abbreviated	br	0.031	0.8257	0.6852
lore	has_property	own	0.031	0.8187	0.0002
same-sex marriage	has_property	zambia	0.031	0.9174	0.0029
theatre	minimize	echoes	0.031	0.6623	1.0
amphibia	has_property	zero rated	0.031	0.8533	0.0005
ssn	has_property	del	0.031	0.9468	0.0002
causality	has_property	real	0.031	0.8973	0.0001
logarithmic scale	has_property	excel	0.031	0.9489	0.004
acetone	has_property	soluble in both water	0.031	0.9674	1.0
penuchle	has_trait	original	0.031	0.8439	0.0004
map	be important tools	have	0.031	0.8779	1.0
sharecropper	has_property	legit	0.031	0.8551	0.0002
studio	has_property	paris	0.031	0.9531	0.0027
wasp	be worse than	bees	0.031	0.8409	0.3223
colposcope	has_property	hp	0.031	0.9116	0.0005
wine	has_property	tv	0.031	0.9575	0.0001
violence	has_property	sol	0.031	0.9631	0.0001
comet	has_property	dan	0.031	0.9508	0.0001
panty liner	has_property	japan	0.031	0.9616	0.0007
runner	has_property	avis	0.031	0.8718	0.001
runner	has_property	ayakkabi	0.031	1.0	0.0417
runner	has_property	ao3	0.031	1.0	0.0001
runner	has_property	aquarius	0.031	1.0	0.0001
runner	has_property	academy	0.031	0.9221	0.0018
runner	has_property	junta	0.031	0.9635	0.0144
runner	has_property	bah	0.031	0.9085	0.0021
runner	has_property	burnout	0.031	0.7831	0.1742
runner	has_property	bjork	0.031	1.0	0.0006
menthol	has_property	del	0.031	0.9468	0.0002
liberty	has_property	important to american democracy	0.031	0.8674	0.1654
warming	has_property	put	0.031	0.8959	0.0001
thing	fare for	thee	0.031	0.7128	1.0
creed	get arrested at	end of office	0.031	0.8231	1.0
executive	has_property	overpaid	0.031	0.8619	0.0146
deuterium	has_property	high	0.031	0.9409	0.0001
cold gangrene	has_property	made	0.031	0.9403	0.0
platinum	has_property	2017	0.031	1.0	0.0157
juda	has_place	about	0.031	0.8807	0.0004
little red riding hood	has_property	can	0.031	0.9453	0.0002
blackjack	has_property	work	0.031	0.934	0.0001
email	has_property	etiquette	0.031	0.7288	0.0049
depression	be associated with	vitamin d deficiency	0.031	0.8797	1.0
prosciutto	has_property	bad when pregnant	0.031	0.9643	0.0206
golden gate bridge	has_property	did	0.031	0.881	0.0002
waterfall	be formed	diagram	0.031	0.8285	0.1031
inositol	has_diet	vegetarian	0.031	0.9103	0.0001
amphibian	has_movement	jumped	0.031	0.8251	0.0014
thermometer	has_property	known for	0.031	0.9268	0.0007
cyclist	reach	super fast speeds	0.031	0.7985	1.0
taylor	has_property	swift nowhere to be found	0.031	0.8005	1.0
plot	has_movement	measured	0.031	0.9498	0.0001
licorice	has_property	disgusting	0.031	0.8434	0.0013
phoebe	become in	thunder mans	0.031	0.6961	1.0
perseus	be	brave	0.031	0.893	0.004
perseus	be	heroic	0.031	0.8921	0.0224
deviant	has_property	awesome	0.031	0.8922	0.0001
deviant	has_property	ayahuasca	0.031	0.8912	0.0005
deviant	has_property	automata	0.031	0.8041	0.2888
deviant	has_property	air	0.031	0.9405	0.0002
deviant	has_movement	ahead	0.031	0.9362	0.0
deviant	has_property	affirmative	0.031	0.8544	0.004
