local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0004	1.0	molnar	0.0717	has_property	green pepper
0.0003	1.0	msw	0.0717	has_property	green pepper
0.0016	0.8449	mk	0.0717	has_property	green pepper
0.0026	0.8021	lao	0.0717	has_property	green pepper
0.0019	1.0	lxi	0.0717	has_property	green pepper
0.0005	0.8187	own	0.0717	has_property	green pepper
0.0005	0.8875	lucky	0.0717	has_property	green pepper
0.0004	0.9218	led	0.0717	has_property	green pepper
0.0008	0.7618	natl	0.0717	has_property	green pepper
0.0005	0.8877	llama	0.0717	has_property	green pepper
0.0005	1.0	ljubljana	0.0717	has_property	green pepper
0.0028	0.8933	hr	0.0717	has_property	green pepper
0.0003	0.9399	lgbt	0.0717	has_property	green pepper
0.0009	0.9237	left	0.0717	has_movement	green pepper
0.0007	0.946	lcd	0.0717	has_property	green pepper
0.0008	0.8826	huh	0.0717	has_property	green pepper
0.0019	0.8577	hwy	0.0717	has_property	green pepper
0.0011	0.9116	hp	0.0717	has_property	green pepper
0.0007	0.9117	hdtv	0.0717	has_property	green pepper
0.0004	1.0	gzsz	0.0717	has_property	green pepper
0.0003	1.0	bsa	0.0717	has_property	green pepper
0.0008	0.8474	kin	0.0717	has_property	stand
0.0164	0.9558	less	0.0717	be paid	engineer
0.0005	0.8799	average	0.0717	has_property	burg
0.0006	0.9399	built	0.0717	be	balmoral castle
0.0002	0.927	phd	0.0717	has_property	nail
0.0004	0.9457	playing	0.0717	has_property	giant
0.0092	0.7376	notes	0.0717	can	organisation
0.0339	0.9078	deadly	0.0717	can be	wave
1.0	0.8873	mine craft	0.0717	reappear in	block
0.0002	0.9311	oxford	0.0717	has_property	greatest common factor
0.0006	0.9812	important to us	0.0717	has_property	amenity
0.0004	0.9169	off	0.0717	has_place	cook
0.0001	0.9583	uk	0.0717	has_property	pulicidae
0.4746	0.8478	needle leaves	0.0717	have	tree
0.0087	0.902	new years	0.0717	celebrate	europe
0.0074	0.8163	yawning	0.0717	can	nose
0.0006	0.8978	bbq	0.0717	has_property	chick
0.003	0.8234	shake	0.0717	can	eyebrow
0.0261	0.8272	wiggle	0.0717	can	toe
0.0005	0.8746	size	0.0717	can	sweater
0.0003	0.891	put	0.0717	has_property	stained glass window
0.0122	0.9315	python	0.0717	be important	hip joint
0.0001	0.8708	mean	0.0717	can	exposition
0.001	0.9456	grown	0.0717	has_property	brussels sprout
0.0102	0.8277	pen	0.0717	can	acupuncture
0.0002	0.8369	types	0.0717	can	seltzer
0.0004	0.8878	spread	0.0717	can	throat infection
1.0	0.8094	lucrative colitis	0.0717	can help	probiotic
0.0001	0.8973	ahead	0.0717	has_movement	lamp
0.0002	0.7997	cbc	0.0717	has_property	narcissist
0.0454	0.9629	whats app	0.0717	show on	status
0.0001	0.9111	vegan	0.0717	has_diet	bladder stone
0.0012	0.8948	make	0.0717	can	gunpowder
0.0002	0.9088	help	0.0717	can	ribbon worm
0.0002	0.8554	rhyme	0.0717	can	teething
1.0	0.7652	rank	0.0717	watch	citizen
0.3564	0.8784	female	0.0717	be called	connector
0.7154	0.8159	mankind	0.0717	benefit	diet
0.0001	0.877	cut	0.0717	can	frosting
1.0	0.683	pigeon toed	0.0717	walk	model
1.0	0.8509	energy	0.0717	be harnessed for	geothermal energy
0.0003	0.9079	know	0.0717	can	cranberry
0.0001	0.8708	mean	0.0717	can	interrupt
0.0003	0.9413	twitter	0.0717	has_property	grape juice
0.0002	0.8939	away	0.0717	has_place	lens
0.0001	0.8708	mean	0.0717	can	knickers
0.0001	0.9463	different	0.0717	has_property	envelope
0.0003	0.8995	hot	0.0717	has_temperature	wort
0.0007	0.7701	typical	0.0717	has_property	book
0.0005	0.9708	us	0.0717	affect	theater
0.001	0.9512	sentence	0.0717	be used in	turn
0.0711	0.8429	par	0.0717	can	hum
0.0005	0.8925	valid	0.0717	has_property	supernaturalness
0.0001	0.8922	die	0.0717	can	scratch
0.0008	0.8342	effect	0.0717	can	scratch
0.0031	0.8485	glitch	0.0717	has_property	receipt
0.0082	0.8303	ocr	0.0717	has_property	receipt
0.1781	0.9286	census	0.0717	has_property	receipt
0.0275	0.8483	omen	0.0717	can	nose
1.0	0.8513	energy storage in body	0.0717	be suited for	fat
0.0127	0.7552	to un peacekeeping	0.0717	contribute	sudan
0.0125	0.8623	audited	0.0717	has_property	witnesser
0.0016	0.8835	jet	0.0717	has_property	witnesser
0.0021	0.8111	ignores	0.0717	has_property	witnesser
0.0007	0.827	iced	0.0717	has_property	witnesser
0.0009	1.0	azerbaijan	0.0717	has_property	witnesser
0.0005	0.9387	awarded	0.0717	has_property	witnesser
0.0001	0.936	hard	0.0717	has_manner	doom
0.0004	1.0	wwi	0.0717	has_property	raisin
0.0005	0.8799	average	0.0717	has_property	real estate broker
0.0281	0.7856	town	0.0717	queen	bus fare
0.1372	0.9255	hair	0.0717	can remove	pumice stone
0.0003	0.9726	body	0.0717	affect	deadly nightshade
0.1239	0.7891	justice	0.0717	achieve	statute law
0.0002	0.9705	environment	0.0717	affect	mass production
0.0066	0.9153	solubility	0.0717	affect	ionic charge
1.0	0.7046	congressperson	0.0717	affect	pork barrel
0.1262	0.9473	us feel better	0.0717	make	crying
0.0012	0.8775	function	0.0717	can	peptidase
0.0	0.9451	bad	0.0717	has_property	carbonic acid
0.0019	0.9235	electricity	0.0717	generate	california
0.0084	0.7632	irritation	0.0717	has_property	emission
0.0001	0.9462	text	0.0717	has_property	emission
0.0008	0.8756	twin	0.0717	has_property	emission
0.0132	0.8665	tucson	0.0717	has_property	emission
0.001	0.8723	ted	0.0717	has_property	emission
0.0001	0.9135	tlc	0.0717	has_property	emission
0.0236	1.0	nitrated	0.0717	has_property	emission
0.0052	1.0	iyengar	0.0717	has_property	emission
