subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
lymphocytopenia	can	happen	0.8997	0.8191	0.002
bat	bump into	things	0.8997	0.7168	0.9169
sector	be important in	india	0.8997	0.9001	0.0564
city	get	tornadoes	0.8997	0.8742	0.1888
big plans	release	date	0.8997	0.7464	0.3286
diarrhea	has_property	the answer	0.8997	0.8443	1.0
pinniped	can	work	0.8997	0.8516	0.0002
gold	has_property	magnetic	0.8997	0.8454	0.0122
violin	have	holes	0.8997	0.8938	0.0154
betula alleghaniensis	has_property	worth	0.8997	0.8661	0.0029
raindrop	can	hurt	0.8997	0.8266	0.0023
treasure hunt	has_property	worth	0.8997	0.8661	0.0029
bismarck	be on	specify	0.8997	0.928	0.0042
java	has_property	installing	0.8997	0.808	0.1113
popillia japonica	has_property	alive	0.8997	0.8784	0.0012
rhizopus stolonifer	has_property	syndrome	0.8997	0.8216	0.0365
segway	fall	over	0.8997	0.7802	0.0367
laura	be on	q102	0.8997	0.9591	1.0
craniosynostosis	has_property	contagious	0.8997	0.8044	0.0056
stuffed egg	has_property	made	0.8997	0.9267	0.0004
caw	can	jump	0.8997	0.8185	0.0009
tooth	be fixed to	jaw	0.8997	0.8053	1.0
cash	be for	apps working	0.8997	0.8882	1.0
smartphone	has_property	good for us	0.8997	0.919	0.0291
x-ray photography	has_trait	good	0.8997	0.9394	0.0003
turn	be off	lights by panic at disco on itunes	0.8997	0.7349	1.0
debt	has_property	expense	0.8997	0.7722	0.1404
chimp	can	evolve	0.8997	0.805	0.0052
citrus mealybug	has_trait	good	0.8997	0.9394	0.0003
securities market	has_property	shared	0.8997	0.7941	0.0215
point-and-shoot camera	has_trait	open	0.8997	0.8924	0.0017
animal	reproduce	a lot of eggs	0.8997	0.7793	1.0
pe	has_property	licensed	0.8997	0.7138	0.0829
oyster fungus	has_trait	good	0.8997	0.9394	0.0003
dill weed	has_property	made	0.8997	0.9267	0.0004
dental surgery	has_property	done	0.8997	0.9051	0.0031
