subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
oral contraceptive	has_diet	vegan	0.1057	0.9111	0.0001
decongestant	can	azure	0.1057	0.8313	0.0014
decongestant	can	yellow	0.1057	0.8947	0.0003
town	has_property	royal	0.1057	0.9043	0.0113
socket	has_property	all	0.1057	0.9269	0.0012
refrigerant	affect	global warming	0.1057	0.8634	0.0058
husky	run	off	0.1057	0.8374	0.866
result	can	do	0.1057	0.9192	0.0002
legend	be associated with	birth of religious leader	0.1057	0.6902	1.0
snake	be called	serpents	0.1057	0.8005	1.0
spider	bite	3 times	0.1057	0.8878	0.5718
nuclear fusion	help	world	0.1057	0.956	0.0122
tv	can	speed	0.1057	0.8754	0.0003
bear	travel in	packs	0.1057	0.7692	0.0207
collection	can be removed	from credit reports	0.1057	0.7859	1.0
one dog	lick	another dogs butt	0.1057	0.8792	1.0
bank	push	credit cards	0.1057	0.867	0.037
organic compound	has_property	table	0.1057	0.9454	0.0037
growth rate	decline	in many human populations	0.1057	0.8178	1.0
sen	can	act	0.1057	0.8646	0.0006
sotho	has_color	yellow	0.1057	0.9387	0.0001
allele	can	set	0.1057	0.8827	0.0004
amytal	has_property	sol	0.1057	0.9631	0.0005
mussel	has_property	ok	0.1057	0.9197	0.0005
blue	has_property	the world's favorite color	0.1057	0.8652	1.0
yquem	has_property	uk	0.1057	0.9583	0.0001
cichlid	can	types	0.1057	0.8369	0.0003
sea star	digest	food	0.1057	0.8571	0.0058
callus	has_trait	open	0.1057	0.9332	0.0002
vertebra	have	different shapes	0.1057	0.9365	0.0138
blogger	get	free hotels	0.1057	0.7801	1.0
heat energy	be considered	waste energy	0.1057	0.8809	1.0
air	have	weight briefly	0.1057	0.8431	1.0
islam	be introduced	africa	0.1057	0.8567	1.0
milk	make	acid reflex worse	0.1057	0.8471	0.1961
sus	has_color	yellow	0.1057	0.9387	0.0001
rawhide	has_effect	dangerous	0.1057	0.9176	0.0001
oto	has_property	valid	0.1057	0.8668	0.0007
oto	has_trait	weak	0.1057	0.8979	0.0011
marseille	has_effect	dangerous	0.1057	0.9176	0.0001
bluebell	has_property	bad	0.1057	0.9451	0.0
lady	wear	beads	0.1057	0.8785	0.1008
lion	treat	baby lions	0.1057	0.7302	1.0
bidet	has_trait	clean	0.1057	0.9173	0.0015
surprise	can	ghost	0.1057	0.8246	0.0004
air bubble	come from	surface of metal container	0.1057	0.7582	1.0
