subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
sparrow	can	itch	0.0964	0.8698	0.0003
sparrow	can	irrigate	0.0964	0.8036	0.0022
sparrow	can	ignore	0.0964	0.8392	0.0007
sparrow	can	identify	0.0964	0.8533	0.0004
sparrow	can	ghost	0.0964	0.8246	0.0004
sparrow	can	erect	0.0964	0.8062	0.0041
sparrow	can	elevate	0.0964	0.7873	0.0029
sparrow	can	eject	0.0964	0.8316	0.0007
sparrow	can	dwarf	0.0964	0.8342	0.0027
sparrow	can	deny	0.0964	0.8265	0.0611
sparrow	can	chatter	0.0964	0.7467	0.0277
sparrow	can	ache	0.0964	0.829	0.0051
tick	be harmful to	humans	0.0964	0.911	0.0058
return	can	belts	0.0964	0.8517	0.0003
kink	can	group	0.0964	0.8207	0.0082
immigrant	cluster	together	0.0964	0.7597	0.137
pisces	can	explode	0.0964	0.8403	0.001
pisces	can	retreat	0.0964	0.7845	0.0741
pisces	can	dj	0.0964	0.8749	0.0023
pisces	can	dog	0.0964	0.918	0.0005
roller	can	symbolize	0.0964	0.8337	0.0012
roller	can	queen	0.0964	0.8744	0.002
piston	can	snap	0.0964	0.8655	0.0005
piston	can	dot	0.0964	0.823	0.001
casino	have	busy carpets	0.0964	0.7377	1.0
politics	be in	chile	0.0964	0.905	0.0379
institution	can	snow	0.0964	0.9054	0.0005
thor	has_property	god	0.0964	0.9462	0.0015
john steinbeck	did wrote	chrysanthemums	0.0964	0.6217	1.0
stranger	be up	on catch	0.0964	0.9164	0.1547
opposite	can	know	0.0964	0.9079	0.0004
ate	can	bum	0.0964	0.8078	0.0008
ate	can	oysters	0.0964	0.8748	0.0134
bane	can	fee	0.0964	0.8555	0.0002
bane	can	agree	0.0964	0.8656	0.0009
wafer	has_trait	curious	0.0964	0.7766	0.0069
cultus	can	types	0.0964	0.8369	0.0003
star wars	have in	4k movies	0.0964	0.7688	1.0
planaria	can	agree	0.0964	0.8656	0.0009
planaria	can	bite	0.0964	0.8449	0.0012
planaria	can	met	0.0964	0.797	0.0003
planaria	can	rhyme	0.0964	0.8554	0.0003
planaria	can	rise	0.0964	0.8598	0.001
planaria	can	rat	0.0964	0.8029	0.0006
planaria	can	yawn	0.0964	0.8069	0.0013
planaria	can	bite	0.0964	0.8449	0.0012
planaria	can	bleed	0.0964	0.8516	0.0015
planaria	can	emerge	0.0964	0.8137	0.0025
planaria	can	spread	0.0964	0.8878	0.0006
planaria	can	established	0.0964	0.8193	0.0048
planaria	can	exist	0.0964	0.8895	0.0002
planaria	can	agree	0.0964	0.8656	0.0009
tale	can	fits	0.0964	0.8458	0.0764
hybrid	has_property	killed	0.0964	0.9479	0.0004
family members	access	apple music	0.0964	0.8303	1.0
rank	can	cut	0.0964	0.877	0.0002
hub	can	fee	0.0964	0.8555	0.0002
skillet	can	swear	0.0964	0.8687	0.0008
skillet	can	identify	0.0964	0.8533	0.0004
skillet	can	ice	0.0964	0.884	0.0003
champ	can	put	0.0964	0.8353	0.0002
houseplant	has_property	pc	0.0964	0.9511	0.0004
orang	can	rise	0.0964	0.8598	0.001
hose	has_property	oil	0.0964	0.9473	0.0003
intel	can	burn	0.0964	0.8534	0.0006
father	run	away	0.0964	0.8781	0.0035
feel	can	rage	0.0964	0.8128	0.0958
gas furnace	ensure	production of blue flame	0.0964	0.7748	1.0
mathematician	be fabulous in	bed	0.0964	0.8847	1.0
tennis	can	bow	0.0964	0.8036	0.0099
paper cup	has_property	better than styrofoam	0.0964	0.8907	0.4633
spaceship	go	sideways	0.0964	0.8727	0.0745
camel	has_property	hybrid	0.0964	0.8475	0.0033
israel	affect	the united states	0.0964	0.8798	0.0287
homo	can	pay	0.0964	0.9065	0.0011
stem cell	can treat	spinal cord injuries	0.0964	0.8008	1.0
hurricane	can affect	humans	0.0964	0.9274	0.0139
communism	can	pet	0.0964	0.8855	0.0007
lobster	has_property	rat	0.0964	0.8515	0.0019
feel	can	attacked	0.0964	0.7776	0.2326
ay	can	met	0.0964	0.797	0.0003
abiogenesis	can	work	0.0964	0.9072	0.0
interpretation	can	swear	0.0964	0.8687	0.0008
interpretation	can	sic	0.0964	0.7898	0.0006
interpretation	can	snap	0.0964	0.8655	0.0005
interpretation	can	smile	0.0964	0.8614	0.0017
interpretation	can	rise	0.0964	0.8598	0.001
interpretation	can	oyster	0.0964	0.8603	0.0005
interpretation	can	lap	0.0964	0.9055	0.0006
interpretation	can	zone	0.0964	0.8289	0.0006
interpretation	can	belts	0.0964	0.8517	0.0003
mustang	can	occur	0.0964	0.8679	0.0001
turk	has_property	very hot	0.0964	0.9078	0.0637
fertiliser	has_place	up	0.0964	0.9414	0.0002
fort	can	zone	0.0964	0.8289	0.0006
dag	can	wow	0.0964	0.7853	0.0027
dag	can	equip	0.0964	0.8186	0.0267
people	hack	phones	0.0964	0.7535	0.0719
tome	can	square	0.0964	0.8749	0.0013
cone	can	get	0.0964	0.9429	0.0004
battle	can	identify	0.0964	0.8533	0.0004
casino	can	rhyme	0.0964	0.8554	0.0003
functionalist	view	gender	0.0964	0.7827	0.4287
panda	roll	around	0.0964	0.8339	0.0299
weakness	can	pet	0.0964	0.8855	0.0007
content	can	up	0.0964	0.8924	0.0003
distance	can	email	0.0964	0.8626	0.0005
station	can	occur	0.0964	0.8679	0.0001
cattail	spread	seeds	0.0964	0.8945	0.0181
drag	can	set	0.0964	0.8827	0.0004
cypress	can	oil	0.0964	0.8756	0.0006
guy	can	had	0.0964	0.8821	0.0005
troll	has_property	work	0.0964	0.934	0.0004
gentleman	can	sayings	0.0964	0.8376	0.0399
billiards	can	issue	0.0964	0.8352	0.0067
billiards	can	iron	0.0964	0.9082	0.0007
seed	has_property	get	0.0964	0.8796	0.0003
african american	get	sickle cell anemia	0.0964	0.9108	1.0
acorn	fall	prematurely	0.0964	0.7668	0.4543
brother	can	up	0.0964	0.8924	0.0003
battle	can	snap	0.0964	0.8655	0.0005
battle	can	belts	0.0964	0.8517	0.0003
homo	can	put	0.0964	0.8353	0.0002
kali	hold	head	0.0964	0.7835	0.2579
ate	can	roar	0.0964	0.7806	0.0083
ate	can	owned	0.0964	0.7944	0.0086
ate	can	sags	0.0964	0.8547	0.0348
concept	can	test	0.0964	0.8774	0.0018
pot	can	dog	0.0964	0.918	0.0005
menu	can	lyrics	0.0964	0.8772	0.0002
menu	can	belts	0.0964	0.8517	0.0003
thirst	can	fight	0.0964	0.8896	0.0009
headlight	can	yield	0.0964	0.8852	0.0006
return	can	sic	0.0964	0.7898	0.0006
potassium bromide	be used in	ir spectroscopy	0.0964	0.7917	1.0
rocket engine	has_property	squeaky	0.0964	0.8526	0.0027
margin	has_property	not	0.0964	0.927	0.0002
alexa	can read	bible	0.0964	0.9219	1.0
colombian	can	up	0.0964	0.8924	0.0003
calcium	can	fire	0.0964	0.8744	0.0032
leprechaun	can	sing	0.0964	0.9103	0.0014
favor	can	won	0.0964	0.8028	0.0019
battle	can	oyster	0.0964	0.8603	0.0005
battle	can	burst	0.0964	0.7956	0.0051
battle	can	itch	0.0964	0.8698	0.0003
sherpa	live at	high altitudes	0.0964	0.8741	0.0735
spiral	can	speed	0.0964	0.8754	0.0003
spiral	can	belts	0.0964	0.8517	0.0003
spiral	can	fine	0.0964	0.7794	0.0005
fear	can	runs	0.0964	0.8516	0.0074
hypertension	can	was	0.0964	0.8692	0.0002
cap	can	fee	0.0964	0.8555	0.0002
nous	can	yellow	0.0964	0.8947	0.0002
distance	can	yield	0.0964	0.8852	0.0006
citizen	have voice in	government	0.0964	0.843	1.0
white blood cell	has_property	able to change shape	0.0964	0.9021	1.0
red	can	burn	0.0964	0.8534	0.0006
distance	can	oyster	0.0964	0.8603	0.0005
distance	can	itch	0.0964	0.8698	0.0003
distance	can	grip	0.0964	0.8243	0.0009
bar	has_property	html	0.0964	0.9613	0.0006
spammer	get	contact list	0.0964	0.7375	1.0
representative	can	work	0.0964	0.9072	0.0
parent	can limit	screen time	0.0964	0.798	1.0
formalin	has_trait	good	0.0964	0.9469	0.0
tightrope walker	use	pole	0.0964	0.8315	0.2185
temper	can	idle	0.0964	0.8249	0.0006
prima	can	dams	0.0964	0.8768	0.006
distance	can	sic	0.0964	0.7898	0.0006
ocean	can	recede	0.0964	0.786	0.045
log	can	crack	0.0964	0.8232	0.0016
feel	can	ftp	0.0964	0.858	0.0015
fried egg	has_property	text	0.0964	0.9462	0.0002
metre	can	left	0.0964	0.8138	0.0044
portion	can	cut	0.0964	0.877	0.0002
gold	be found in	seams	0.0964	0.772	1.0
