local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0003	0.9372	good	0.9703	has_trait	topical anesthesia
1.0	0.8544	forward	0.9703	can swim	shark
0.0008	1.0	and	0.9703	has_property	fabric
0.0094	0.8243	grip	0.9703	can	witnesser
0.0941	0.8433	banned	0.9703	can	witnesser
0.0026	0.8187	gas	0.9703	can	witnesser
0.0022	0.8372	twitch	0.9703	can	witnesser
0.1075	0.7299	peg	0.9703	can	witnesser
0.0075	0.8101	ignore	0.9703	can	witnesser
0.0035	0.8606	ice	0.9703	can	witnesser
0.0058	0.7699	sic	0.9703	can	post
0.0143	0.8298	went	0.9703	can	date
0.6173	0.7573	tracking	0.9703	can	post
0.4421	0.8351	body	0.9703	alkalize	lemon juice
0.0773	0.8061	bill	0.9703	can	true
0.0065	0.9271	tonight	0.9703	be on	salvation
0.8841	0.8005	peaches	0.9703	has_color	nectarine
0.5116	0.7022	finance	0.9703	teach	school
0.0098	0.9485	zoomed	0.9703	has_property	twitter
1.0	0.7776	is blended	0.9703	has_property	email
0.0026	0.8187	gas	0.9703	can	post
0.0008	1.0	and	0.9703	has_property	making
0.0045	0.8821	had	0.9703	can	dod
0.0015	0.8775	is	0.9703	has_property	fun
1.0	0.9467	a being in the world	0.9703	has_property	man
0.0236	0.8749	dj	0.9703	can	first
0.0075	0.8269	pet	0.9703	can	hob
0.6895	0.7576	feathers	0.9703	drop	zombie
0.0031	0.8369	types	0.9703	can	fam
0.0023	0.8021	put	0.9703	can	schtikl
0.0183	0.8635	up	0.9703	break	hilus
0.0056	0.8369	type	0.9703	can	bimillennium
0.0022	0.8372	twitch	0.9703	can	bimillennium
0.0024	0.895	sleep	0.9703	can	schtikl
0.0058	0.7699	sic	0.9703	can	schtikl
0.0794	0.8474	said	0.9703	can	schtikl
0.0236	0.8046	rap	0.9703	can	schtikl
0.0268	0.8166	cap	0.9703	can	schtikl
0.075	0.8165	cup	0.9703	can	schtikl
0.0217	0.8493	ban	0.9703	can	schtikl
0.2288	0.8895	got	0.9703	can	azymia
0.9096	0.7023	secreted	0.9703	can	azymia
0.0028	0.808	wet	0.9703	can	scolder
0.0032	0.8329	squeak	0.9703	can	scolder
0.0075	0.8101	ignore	0.9703	can	tornillo
0.0035	0.8606	ice	0.9703	can	tornillo
0.0107	0.7931	average	0.9703	can	cakile
0.0015	0.8782	use	0.9703	can	pipturus
0.052	0.7466	sub	0.9703	can	pipturus
0.0038	0.7594	set	0.9703	can	pipturus
0.1888	0.8218	drawing	0.9703	can	pipturus
1.0	0.7049	after a mosquito bite	0.9703	form	bump
0.0024	0.895	sleep	0.9703	can	insecta
1.0	0.7648	like in a day	0.9703	move fast	guy
1.0	0.8964	in the liquid	0.9703	be	pressure
1.0	0.8279	from floating to the surface of the water	0.9703	keep	scuba diver
0.0028	0.808	wet	0.9703	can	ang
0.0038	0.7594	set	0.9703	can	deer
1.0	0.6117	price floor	0.9703	impose	government
0.0029	0.8045	speed	0.9703	can	baseness
0.0029	0.8045	speed	0.9703	can	baseness
1.0	0.7838	loyalty	0.9703	can deliver	company
0.0687	0.841	eyebrows	0.9703	have	cat
0.0011	0.9426	netflix	0.9703	be on	dragon
0.0035	0.8606	ice	0.9703	can	true
1.0	0.8063	weight	0.9703	be sold as to	silver
0.7435	0.7924	in an environment	0.9703	live	most animals
0.0085	0.7768	bum	0.9703	can	true
0.0015	0.8775	is	0.9703	has_property	oyster
0.0304	0.7678	weed	0.9703	smoke	coo
0.0113	0.8493	happy	0.9703	has_property	frog
0.1169	0.7816	op	0.9703	has_property	photo
0.0314	0.8161	bob	0.9703	can	true
0.066	0.8063	tour	0.9703	can	fighter
0.0026	0.8187	gas	0.9703	can	period
0.0029	0.9512	in a sentence	0.9703	be used	locomotive
0.013	0.78	square	0.9703	can	post
0.5454	0.8501	speed	0.9703	be different from	velocity
0.4608	0.8844	dry clean	0.9703	say	thing
0.016	0.7504	top	0.9703	can	football
0.0128	0.774	aim	0.9703	can	character
1.0	0.7777	prison	0.9703	can escape from	inmate
0.0982	0.814	in the sun	0.9703	bask	butterfly
1.0	0.8711	in the space ship	0.9703	float	astronaut
0.3821	0.8429	co	0.9703	have	plath
0.0198	0.7914	face	0.9703	can	deer
0.6474	0.8825	in laboratories	0.9703	be used	beaker
0.0215	0.8329	update	0.9703	can	true
0.026	0.8048	link	0.9703	be to	hone
0.4489	0.8588	chat	0.9703	be on	filter
1.0	0.6862	dragon born	0.9703	feel about	dragon
0.005	0.9412	used	0.9703	can	noun
1.0	0.7536	a mixture of compounds	0.9703	separate	chromatography
0.461	0.7574	clean	0.9702	say	thing
0.0045	0.8821	had	0.9702	can	animalia
0.0056	0.8029	rat	0.9702	can	animalia
0.3205	0.7257	rotten	0.9702	get	apple
1.0	0.6759	top rack	0.9702	say	thing
0.4925	0.7926	to a stop	0.9702	come	traffic
0.0086	0.8621	change	0.9702	can	period
0.0114	0.7829	dying	0.9702	can	casino
0.0107	0.8224	normal	0.9702	has_property	normal distribution
0.0807	0.8309	disorder	0.9702	has_property	fibrosis
0.0107	0.8344	ask	0.9702	can	character
0.0122	0.863	map	0.9702	can	ploce
0.0114	0.7829	dying	0.9702	can	ploce
1.0	0.8765	in the sclc	0.9702	be involved	martin luther king
1.0	0.7901	wounds	0.9702	get in	maggot
0.0105	0.9144	ms	0.9702	have	pandora
0.0038	0.836	we	0.9702	has_property	apple
0.2057	0.9546	ca	0.9702	be in	wildfire
0.0017	0.8795	hard	0.9702	has_manner	mineral
0.0052	0.8808	taxed	0.9702	has_property	food
0.0005	0.893	yellow	0.9702	has_color	drawer
0.2404	0.8948	green	0.9702	can go	restaurant
0.0031	0.8725	man	0.9702	has_property	fish
0.0293	0.7217	elevate	0.9702	can	chickadee
0.0186	0.8017	empty	0.9702	can	chickadee
0.0093	0.7768	echo	0.9702	can	chickadee
0.4927	0.8296	one cell thick	0.9702	has_property	capillary walls
0.0969	0.8278	town	0.9702	has_property	bobby
0.1882	0.769	strength	0.9702	has_property	ignorance
0.0394	0.7755	bar	0.9702	can	ang
0.0003	0.9372	good	0.9702	has_trait	vaccine
0.0913	0.7913	disc	0.9702	has_property	cd-r
0.0394	0.7755	bar	0.9702	can	aunt
0.8769	0.8318	mortgage	0.9702	be in	hazard insurance
0.0063	0.8913	it	0.9702	has_property	right
0.1539	0.8823	ipad	0.9702	show up on	text
1.0	0.7356	in a muddle	0.9702	get	thing
0.0025	0.8243	hurt	0.9702	can	witnesser
0.0079	0.8293	sweat	0.9702	can	pictor
0.268	0.8664	the climate	0.9702	change	global warming
0.0038	0.7825	ghost	0.9702	can	football
0.0366	0.9029	paid more	0.9702	get	wnba players
0.0002	0.8516	work	0.9702	can	luck
0.0069	0.9258	bad	0.9702	smell	dish
0.1998	0.868	water in the desert	0.9702	get	coyote
0.0143	0.8473	around	0.9702	has_property	lamprey
0.4914	0.886	on the pc	0.9702	be	doom
1.0	0.8516	the surface	0.9702	has_property	below
0.002	0.7832	cut	0.9702	can	period
0.001	0.8692	is	0.9702	can	fistula
0.0314	0.8425	lights	0.9702	has_movement	tower
0.0064	0.7811	slow	0.9702	can	nro
0.0053	0.8067	migrate	0.9702	can	nro
0.0663	0.7882	cast	0.9702	can	period
1.0	0.73	cars	0.9702	reduce injury in	airbag
1.0	0.7544	nests	0.9702	put spiders in	wasp
1.0	0.7162	support	0.9702	gather	government
0.0505	0.8788	arizona	0.9702	be in	cars rust
0.2316	0.7522	air brakes	0.9702	use	car
0.001	1.0	to	0.9702	has_property	poodle
0.0041	0.8841	closed	0.9702	has_property	trunk road
0.0061	0.8013	contagious	0.9702	has_property	chronic eczema
0.0082	0.9225	on hull	0.9702	has_property	nickelodeon
0.0029	0.8943	do	0.9702	has_property	button
0.0038	0.836	we	0.9702	has_property	center
0.0008	1.0	and	0.9702	has_property	spaniel
0.0048	0.842	email	0.9702	can	ell
0.0028	0.808	wet	0.9702	can	uniform
0.0045	0.8821	had	0.9702	can	heyse
0.0282	0.8443	guy	0.9702	can	tennis
0.0524	0.9488	in the world	0.9702	be used	prime number
0.0011	0.9148	different	0.9702	has_property	dominant allele
0.059	0.9225	in the body	0.9702	be	blood pressure
0.0025	0.8243	hurt	0.9702	can	uniform
0.0196	0.8802	tree	0.9702	has_property	plash
0.0039	0.7951	squeeze	0.9702	can	uniform
0.0141	0.8927	fur	0.9702	has_body_part	rat
1.0	0.7445	a nation of immigrants	0.9702	be called	united states
0.1422	0.8436	energy	0.9702	generate	tide
1.0	0.6903	at a distance	0.9702	twinkle	light
1.0	0.7034	invalid	0.9702	come up	pregnancy test
0.1821	0.8658	womb	0.9702	be in	tail
0.17	0.9863	illegal in the uk	0.9702	has_property	absinthe
0.0045	0.8821	had	0.9702	can	lin
0.526	0.8523	eagle	0.9702	can	ell
0.4771	0.8673	in the same class	0.9702	has_property	camel
0.0146	0.7914	born	0.9702	can	catha
0.2508	0.9145	is free	0.9702	has_property	tinder
0.1559	0.9067	across the sky	0.9702	move	moon
0.0208	0.795	saw	0.9702	can	dy
0.0009	0.8682	vegan	0.9702	has_diet	tooth
1.0	0.8757	flash season 5	0.9702	be in	joe
0.0083	0.8758	egg	0.9702	can	dy
0.0035	0.8153	zero	0.9702	can	motorcycle
0.0179	0.8085	query	0.9702	can	ans
0.0004	0.9205	bad	0.9702	has_property	rubber
0.0011	0.9148	different	0.9702	has_property	chrome
