local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.377	0.8395	asylum	0.2348	apply for	foreigner
0.819	0.8762	males	0.2348	differ for	range
0.0032	0.9557	america	0.2348	be in	alaska
0.0157	0.9189	more common	0.2348	has_property	eclipse
1.0	0.7592	existing doorbell	0.2348	be with	ring doorbell work
0.3352	0.8198	terms	0.2348	compare in	nuclear power
0.0102	0.9281	hair	0.2348	grow	jamaican
1.0	0.7385	to correct farsightedness	0.2348	be used	convex lens
0.7122	0.9088	rdr2	0.2348	affect	cheat
0.8443	0.9164	cells	0.2348	be added to	iodine
0.1711	0.8964	soft drinks	0.2348	be used in	caffeine
0.0001	0.9469	good	0.2348	has_trait	fig marigold
0.007	0.835	around	0.2348	move	blue whale
0.0029	0.9548	zoo	0.2348	has_property	giraffe
0.0001	0.9428	bad	0.2348	has_property	bathos
0.0004	0.9414	black	0.2348	has_color	jay
0.8052	0.8957	females	0.2348	differ for	range
0.0001	0.9428	bad	0.2348	has_property	thyroglobulin
1.0	0.8281	plants	0.2348	have endangered	orchid
0.1324	0.7109	hyphens	0.2348	have	last name
1.0	0.7843	code of ethical conduct	0.2348	use	teacher
1.0	0.6718	as boats float	0.2348	modeled	clay
0.0001	0.9428	bad	0.2348	has_property	fradicin
0.0001	0.9469	good	0.2348	has_trait	fine-tooth comb
0.0153	0.8699	taboo	0.2348	has_property	food
1.0	0.8704	best piano	0.2348	has_property	steinway
0.0565	0.8405	standing up	0.2348	sleep	penguin
0.1617	0.816	polaris	0.2348	rotate around	dipper
0.8034	0.8027	brains	0.2348	look like	nut
0.4334	0.8145	no sense of humor	0.2348	have	most people
0.1283	0.8716	short lives	0.2348	live	great dane
0.0001	0.9469	good	0.2348	has_trait	fox
0.0002	0.9102	dangerous	0.2348	has_effect	refractory anemia
1.0	0.9081	islam	0.2348	be sacred city in	mecca
1.0	0.6003	intercom	0.2348	use	amazon
0.0029	0.8974	caused	0.2348	has_property	bronchospasm
1.0	0.862	klein	0.2348	be expensive	calvin
0.0101	0.868	itchy	0.2348	get	private parts
1.0	0.7424	brain	0.2348	encoded in	memory
1.0	0.8614	worse with a cold	0.2348	has_property	tinnitus
0.0046	0.8481	halal	0.2348	has_property	chicken liver
0.003	0.9283	in water	0.2348	dissolve	copper oxide
0.0025	0.8091	break	0.2348	can	friend
0.0005	0.8738	happen	0.2348	can	relationship
0.073	0.8635	chemistry	0.2348	be related to	pharmacist
0.0907	0.8485	lead	0.2348	have	candy
1.0	0.8877	ravnica	0.2348	work in	cleric
0.0002	0.9102	dangerous	0.2348	has_effect	cuboidal cell
0.0122	0.8326	care of babies	0.2348	take	snowy owl
1.0	0.8152	zinc oxide	0.2348	can reduce	magnesium oxide
1.0	0.8402	temperature	0.2348	can tell	cricket
0.0001	0.9469	good	0.2348	has_trait	milk powder
0.0002	0.9388	illegal	0.2348	has_property	patent right
0.0014	0.84	evolve	0.2348	can	creature
0.0121	0.8989	nucleus	0.2348	have	rbc
0.0005	0.9129	vs	0.2348	has_property	mar
0.0258	0.9078	in the earth	0.2348	be formed	natural gas
0.0006	0.8949	necessary	0.2348	has_property	food additive
0.0003	0.9078	healthy	0.2348	has_trait	refrigerator cookie
0.0002	0.8692	is	0.2348	can	suggestion
0.0004	0.8987	grow	0.2348	can	fuchsia
1.0	0.6871	night frights	0.2348	get	bird
0.0722	0.8866	sand	0.2348	dig in	bee
0.182	0.7998	egg	0.2348	reach	sperm cell
1.0	0.7639	water	0.2348	propel in	dolphin
0.0948	0.7645	periods	0.2348	deal with	nun
1.0	0.7567	on gold	0.2348	grow	coral
0.0855	0.8561	in corona	0.2348	has_property	blue ribbon
0.0077	0.8484	blocked	0.2348	get	debit card
1.0	0.7954	clear after rains	0.2348	become	sky
0.0511	0.8309	body	0.2348	appear on	boil
0.5443	0.9002	part of eastern europe	0.2348	has_property	greece
1.0	0.7931	the role of the media in politics	0.2348	define	sociologist
0.0003	0.9412	red	0.2348	has_color	aloe
0.1308	0.9355	present in the body	0.2348	has_property	carbon dioxide
0.8518	0.6421	adamantium	0.2348	have	wolverine
0.8043	0.8634	useful for studying the past	0.2348	has_property	photograph
0.7417	0.8755	spot	0.2348	be turn on	ear
0.7921	0.754	negative numbers	0.2348	represent	binary
1.0	0.8207	grief	0.2348	differ from	mourning
0.0619	0.9171	excel	0.2348	show in	zero
0.3888	0.9116	dark places	0.2348	grow in	mushroom
0.7828	0.8249	de leon important	0.2348	has_property	martin
0.1468	0.8633	lasers	0.2348	be used in	ruby
1.0	0.7693	poofs	0.2348	be called	poof
0.0	0.8642	work	0.2348	can	lidocaine
0.2604	0.7119	linen	0.2348	be called	bedspread
0.0564	0.8953	fallout 76	0.2348	work in	hit
0.0025	0.8091	break	0.2348	can	window
0.0015	0.9587	ms	0.2348	has_property	silicon dioxide
0.4467	0.9481	in symbolic	0.2348	has_property	chief
0.6649	0.7697	together	0.2348	stand	cow
1.0	0.7985	in the nuclear membrane	0.2348	has_property	pore
0.0	0.8642	work	0.2348	can	nybble
1.0	0.7908	bigger	0.2348	get randomly	breast
1.0	0.8915	important to the black culture	0.2348	has_property	langston hughes
1.0	0.8878	to live in deserts	0.2348	like	leopard
0.0619	0.8462	habitat	0.2348	has_property	whooping crane
0.0001	0.9428	bad	0.2348	has_property	go-kart
0.0007	0.9512	in a sentence	0.2348	be used	inspiration
0.0052	0.9559	sydney	0.2348	has_property	shoe
0.4666	0.8572	acts	0.2347	have	movie
0.0037	0.8574	taxable	0.2347	has_property	retirement benefit
1.0	0.7684	when playing dead	0.2347	breathe	actor
0.0172	0.917	tasty	0.2347	has_property	chicken
0.0048	0.9809	desert	0.2347	live in	iguana
0.0004	0.8987	grow	0.2347	can	musquash
0.017	0.8949	child	0.2347	affect	gay adoption
0.0143	0.7623	food	0.2347	catch	alligator
