subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
prothalamion	can	work	0.0991	0.9072	0.0
titlark	can	work	0.0991	0.9072	0.0
telegrapher	can	work	0.0991	0.9072	0.0
argemone	can	grow	0.0991	0.9109	0.0002
deshabille	can	work	0.0991	0.9072	0.0
heartlessness	can	work	0.0991	0.9072	0.0
gastrogavage	can	work	0.0991	0.9072	0.0
denticle	can	work	0.0991	0.9072	0.0
chalcid	can	work	0.0991	0.9072	0.0
yibit	can	work	0.0991	0.9072	0.0
parqueteries	can	work	0.0991	0.9072	0.0
piroplasm	can	work	0.0991	0.9072	0.0
vinegarishness	can	work	0.0991	0.9072	0.0
jumpiness	can	work	0.0991	0.9072	0.0
bassariscidae	can	work	0.0991	0.9072	0.0
zettabyte	can	work	0.0991	0.9072	0.0
toweling	can	work	0.0991	0.9072	0.0
operoseness	can	work	0.0991	0.9072	0.0
upsala	can	work	0.0991	0.9072	0.0
ravigote	can	grow	0.0991	0.9109	0.0002
cercopithecidae	can	work	0.0991	0.9072	0.0
eudaemon	can	work	0.0991	0.9072	0.0
driftfish	can	work	0.0991	0.9072	0.0
joyousness	can	work	0.0991	0.9072	0.0
akaba	can	work	0.0991	0.9072	0.0
siegfried	can	work	0.0991	0.9072	0.0
bootee	can	work	0.0991	0.9072	0.0
speculativeness	can	work	0.0991	0.9072	0.0
earthnut	can	work	0.0991	0.9072	0.0
hematogenesis	can	occur	0.0991	0.8679	0.0001
timework	can	work	0.0991	0.9072	0.0
coaming	can	work	0.0991	0.9072	0.0
elmont	can	work	0.0991	0.9072	0.0
aminoaciduria	can	work	0.0991	0.9072	0.0
cartilaginification	can	work	0.0991	0.9072	0.0
axone	can	work	0.0991	0.9072	0.0
nigroporus	can	work	0.0991	0.9072	0.0
nosecount	can	work	0.0991	0.9072	0.0
lactonazi	can	work	0.0991	0.9072	0.0
punchboard	can	work	0.0991	0.9072	0.0
strickle	can	work	0.0991	0.9072	0.0
narrowness	can	work	0.0991	0.9072	0.0
alopius	can	work	0.0991	0.9072	0.0
bedfellow	can	work	0.0991	0.9072	0.0
callathump	can	work	0.0991	0.9072	0.0
bannockburn	can	work	0.0991	0.9072	0.0
shlock	can	work	0.0991	0.9072	0.0
galvanism	can	reproduce	0.0991	0.9114	0.0003
prickleback	can	work	0.0991	0.9072	0.0
ulatrophia	can	work	0.0991	0.9072	0.0
lacewood	can	work	0.0991	0.9072	0.0
melanoblast	can	work	0.0991	0.9072	0.0
hexamita	can	work	0.0991	0.9072	0.0
asparagaceae	can	reproduce	0.0991	0.9114	0.0003
damgalnunna	can	work	0.0991	0.9072	0.0
celastrus	can	work	0.0991	0.9072	0.0
archipallium	can	work	0.0991	0.9072	0.0
achondrite	can	form	0.0991	0.866	0.0002
spirant	can	work	0.0991	0.9072	0.0
useableness	can	work	0.0991	0.9072	0.0
laurasia	can	work	0.0991	0.9072	0.0
merrymaking	can	work	0.0991	0.9072	0.0
tetanilla	can	work	0.0991	0.9072	0.0
surbase	can	work	0.0991	0.9072	0.0
eupnoea	can	work	0.0991	0.9072	0.0
sophora	can	work	0.0991	0.9072	0.0
corylaceae	can	work	0.0991	0.9072	0.0
fettler	can	work	0.0991	0.9072	0.0
menninger	can	work	0.0991	0.9072	0.0
micromicron	can	work	0.0991	0.9072	0.0
succotash	can	work	0.0991	0.9072	0.0
plantigrade	can	work	0.0991	0.9072	0.0
rosebay	can	work	0.0991	0.9072	0.0
gallamine	can	work	0.0991	0.9072	0.0
celiocentesis	can	work	0.0991	0.9072	0.0
valdecoxib	can	work	0.0991	0.9072	0.0
lekvar	can	work	0.0991	0.9072	0.0
morosoph	can	work	0.0991	0.9072	0.0
buxomness	can	work	0.0991	0.9072	0.0
decolletage	can	work	0.0991	0.9072	0.0
hindshank	can	work	0.0991	0.9072	0.0
umbrian	can	work	0.0991	0.9072	0.0
pontificate	can	work	0.0991	0.9072	0.0
verbaliser	can	work	0.0991	0.9072	0.0
tailwort	can	work	0.0991	0.9072	0.0
affright	can	work	0.0991	0.9072	0.0
dickeybird	can	work	0.0991	0.9072	0.0
hangbird	can	work	0.0991	0.9072	0.0
monkeypod	can	work	0.0991	0.9072	0.0
malversation	can	work	0.0991	0.9072	0.0
labdanum	can	work	0.0991	0.9072	0.0
abelmosk	can	work	0.0991	0.9072	0.0
kakatoes	can	work	0.0991	0.9072	0.0
glutethimide	can	work	0.0991	0.9072	0.0
pulassan	can	work	0.0991	0.9072	0.0
sheikhdom	can	work	0.0991	0.9072	0.0
penoncel	can	work	0.0991	0.9072	0.0
miniconju	can	work	0.0991	0.9072	0.0
catty	can	work	0.0991	0.9072	0.0
aposiopesis	can	work	0.0991	0.9072	0.0
patricide	can	work	0.0991	0.9072	0.0
andelmin	can	work	0.0991	0.9072	0.0
encolure	can	work	0.0991	0.9072	0.0
cartonful	can	work	0.0991	0.9072	0.0
hemipteronatus	can	occur	0.0991	0.8679	0.0001
tetrasaccharide	can	work	0.0991	0.9072	0.0
anacanthini	can	work	0.0991	0.9072	0.0
lazarette	can	work	0.0991	0.9072	0.0
smarminess	can	work	0.0991	0.9072	0.0
enteroptosis	can	work	0.0991	0.9072	0.0
obscureness	can	work	0.0991	0.9072	0.0
lavatera	can	work	0.0991	0.9072	0.0
dogleg	can	work	0.0991	0.9072	0.0
siracusa	can	work	0.0991	0.9072	0.0
matchwood	can	work	0.0991	0.9072	0.0
lutzen	can	work	0.0991	0.9072	0.0
oscheocele	can	work	0.0991	0.9072	0.0
financial institution	serve	business customers	0.0991	0.7228	1.0
blizzard	can	cut	0.0991	0.877	0.0002
lynx	can	migrate	0.0991	0.8702	0.0005
whisper	can	cut	0.0991	0.877	0.0002
shot	can	feel	0.0991	0.8926	0.0007
purging	can	get	0.0991	0.9429	0.0004
monoclonal antibody	kill	cancer cells	0.0991	0.9218	0.0118
milk	reduce	high	0.0991	0.8412	1.0
phlegm	can	left	0.0991	0.8138	0.0046
phlegm	can	yield	0.0991	0.8852	0.0006
phlegm	can	ice	0.0991	0.884	0.0004
phlegm	can	fail	0.0991	0.8715	0.0004
busker	can	levitate	0.0991	0.8213	0.0279
envy	be considered	sin	0.0991	0.8934	0.0595
journal	can	slow	0.0991	0.8022	0.0007
journal	can	google	0.0991	0.8353	0.0129
macromolecule	has_property	pa	0.0991	0.9447	0.0002
journal	can	put	0.0991	0.8353	0.0002
coin	can	square	0.0991	0.8749	0.0013
semiconductor	be used in	computer chips	0.0991	0.873	0.1525
mongol	be significant to	history of russia	0.0991	0.8174	1.0
anglerfish	can	effects	0.0991	0.8355	0.0012
tac	can	pig	0.0991	0.8762	0.0004
headache	occur	often	0.0991	0.936	0.2317
blastocyst	can	met	0.0991	0.797	0.0003
nana	can	age	0.0991	0.8665	0.0003
tomb	can	types	0.0991	0.8369	0.0003
nematode	can	digest	0.0991	0.8534	0.0045
citric acid cycle	has_property	ajaccio	0.0991	1.0	0.0052
enzyme	can	rise	0.0991	0.8598	0.001
trueness	can	work	0.0991	0.9072	0.0
aubergine	can	grow	0.0991	0.9109	0.0002
flake	can	rhyme	0.0991	0.8554	0.0003
file	be stored in	share point	0.0991	0.8225	0.6799
tickle	can	order	0.0991	0.8092	0.0017
tickle	can	belts	0.0991	0.8517	0.0003
tickle	can	hit	0.0991	0.8462	0.0011
tinnitus	has_property	cd	0.0991	0.9474	0.0002
phoebe	can	act	0.0991	0.8646	0.0006
leech	can	itch	0.0991	0.8698	0.0003
leech	can	empty	0.0991	0.8017	0.0019
caterer	can	award	0.0991	0.8782	0.001
t lymphocyte	has_property	yüksekliği	0.0991	1.0	0.0646
t lymphocyte	has_property	yüksekliği	0.0991	1.0	0.0646
twinkling	can	work	0.0991	0.9072	0.0
transgender	afford	surgery	0.0991	0.7864	1.0
duke	can	go	0.0991	0.9192	0.0002
devil	help	environment	0.0991	0.9585	0.0008
alert	can	does	0.0991	0.881	0.0098
bel	mean in	latin	0.0991	0.8639	0.3234
company	sponsor	sports	0.0991	0.7751	0.2416
duck	can	boat	0.0991	0.8197	0.0278
appraiser	can	last	0.0991	0.7996	0.0008
appraiser	can	man	0.0991	0.862	0.0005
appraiser	can	migrate	0.0991	0.8702	0.0005
appraiser	can	met	0.0991	0.797	0.0003
appraiser	can	lyrics	0.0991	0.8772	0.0002
appraiser	can	fly	0.0991	0.9121	0.0003
appraiser	can	fee	0.0991	0.8555	0.0003
appraiser	can	ftp	0.0991	0.858	0.0016
appraiser	can	freeze	0.0991	0.8525	0.0008
appraiser	can	fit	0.0991	0.8772	0.0006
appraiser	can	fail	0.0991	0.8715	0.0004
appraiser	can	last	0.0991	0.7996	0.0008
appraiser	can	fee	0.0991	0.8555	0.0003
moose	can	camouflage	0.0991	0.8847	0.0042
watching	can	work	0.0991	0.9072	0.0
raid	start in	mine craft	0.0991	0.8938	1.0
overpayment	work on	mortgages	0.0991	0.8598	0.1876
gobble	can	work	0.0991	0.9072	0.0
nuthatch	feed	upside down	0.0991	0.836	0.1804
cicer	has_property	ignores	0.0991	0.8111	0.0029
skid	can	pan	0.0991	0.8189	0.0007
deer	shed	velvet	0.0991	0.7184	0.079
organ	stick	together	0.0991	0.8576	0.0119
supply	can	last	0.0991	0.7996	0.0008
subscription	can	get	0.0991	0.9429	0.0004
exception	can	man	0.0991	0.862	0.0005
hotel room	has_property	ones	0.0991	0.8801	0.0109
grain	can	air	0.0991	0.8536	0.0004
clinic	can	smell	0.0991	0.8868	0.0003
clinic	can	fine	0.0991	0.7794	0.0006
clinic	can	fly	0.0991	0.9121	0.0003
grimoire	can	work	0.0991	0.9072	0.0
bleaching powder	be used	in water treatment plants	0.0991	0.9141	0.798
cnidaria	can	move	0.0991	0.9024	0.0003
comet	has_property	named	0.0991	0.9242	0.0005
surfer	can	oyster	0.0991	0.8603	0.0006
surfer	can	avalanche	0.0991	0.8579	0.1131
surfer	can	hack	0.0991	0.843	0.0263
surfer	can	email	0.0991	0.8626	0.0005
surfer	can	sneeze	0.0991	0.8727	0.0011
surfer	can	migrate	0.0991	0.8702	0.0005
surfer	can	twitch	0.0991	0.8372	0.0002
surfer	can	swear	0.0991	0.8687	0.0008
surfer	can	squeak	0.0991	0.8329	0.0003
sniper	use	bathroom	0.0991	0.9685	0.009
ip	can	code	0.0991	0.8583	0.0059
orange	be on	tree splitting	0.0991	0.884	0.3785
angel	has_property	aquatic	0.0991	0.874	0.0002
bug	need	bug hotels	0.0991	0.7228	1.0
eggshell	can	fit	0.0991	0.8772	0.0006
eggshell	can	cycle	0.0991	0.881	0.0005
eggshell	can	flurry	0.0991	0.797	0.0595
eggshell	can	itch	0.0991	0.8698	0.0003
eggshell	can	irrigate	0.0991	0.8036	0.0023
eggshell	can	illuminate	0.0991	0.785	0.0178
eggshell	can	shop	0.0991	0.8257	0.0014
eggshell	can	ignore	0.0991	0.8392	0.0008
eggshell	can	gave	0.0991	0.8613	0.0388
eggshell	can	fit	0.0991	0.8772	0.0006
eggshell	can	flower	0.0991	0.8885	0.0012
eggshell	can	fail	0.0991	0.8715	0.0004
eggshell	can	twitch	0.0991	0.8372	0.0002
barrier	contribute to	speculation	0.0991	0.7936	0.228
controller	can	lying	0.0991	0.8499	0.0033
offender	can	swear	0.0991	0.8687	0.0008
igg	can	play	0.0991	0.9097	0.0006
cassius	win over	brutus	0.0991	0.8712	1.0
sloth	can	own	0.0991	0.8218	0.0015
grader	can	writing	0.0991	0.8343	0.0094
cyclist	can	rat	0.0991	0.8029	0.0006
infant	go into	cardiac arrest	0.0991	0.8503	0.5275
preference	can	eat	0.0991	0.9077	0.0002
rosilla	has_property	engordan	0.0991	1.0	1.0
rosilla	has_property	equestrian	0.0991	0.7548	0.0031
rosilla	has_property	kent	0.0991	0.7938	0.0277
journal	can	swear	0.0991	0.8687	0.0008
journal	can	identify	0.0991	0.8533	0.0004
journal	can	italicized	0.0991	0.8556	0.1032
journal	can	lyrics	0.0991	0.8772	0.0002
journal	can	rise	0.0991	0.8598	0.001
album	be incomplete on	apple music	0.0991	0.8773	1.0
signer	can	rights	0.0991	0.877	0.0246
intervention	has_property	do	0.0991	0.9348	0.0003
hippo	has_property	acronym	0.0991	0.8101	0.0325
nightgown	has_trait	good	0.0991	0.9469	0.0
nightgown	has_manner	hard	0.0991	0.9359	0.0002
nightgown	has_property	uk	0.0991	0.9583	0.0001
paramecium	can	ingest	0.0991	0.7806	0.2823
subwoofer	can	end	0.0991	0.8317	0.0003
glue stick	has_property	per	0.0991	0.8957	0.0005
