local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.2894	0.9221	burning out	0.3888	keep	light bulb
0.216	0.855	organization	0.3888	be to	branding
0.2008	0.9019	to be alone	0.3888	like	cancer
1.0	0.8375	on water physics	0.3888	float	ice
1.0	0.8234	children 's education	0.3888	be involved in	parent
1.0	0.6901	the teacher	0.3888	reintroduce	lake
0.0021	0.881	cycle	0.3888	can	rider
0.0029	0.8376	com	0.3888	has_property	hedgehog
0.2975	0.8989	little water	0.3888	need	camel
0.2835	0.7333	gop	0.3888	be called	republican party
0.0036	0.9829	important to the ecosystem	0.3888	has_property	snow leopard
0.0009	0.8021	put	0.3888	can	measurement
0.7372	0.8473	art	0.3888	be famous for	france
0.0022	0.831	travel	0.3888	can	spore
0.0045	0.8374	ruby	0.3888	has_color	abun
1.0	0.7227	the largest contract fee figures in professional indemnity insurance	0.3888	need	insurer
0.0002	0.9389	made	0.3888	has_property	gypsum board
1.0	0.7687	after a draw	0.3888	feel	fighter
0.273	0.8133	different from nationalism	0.3888	has_property	patriotism
1.0	0.8044	just can thoughts	0.3888	be	thought
0.0019	0.8246	box	0.3888	can	argo
0.0041	0.9638	australia	0.3888	be in	employment
1.0	0.6712	gummy bears	0.3888	shrink	salt water
1.0	0.7863	in the short run	0.3888	exist	fixed cost
1.0	0.9076	gothic	0.3888	be called	cathedral
0.001	0.8861	yellow	0.3888	can	calorie
0.8628	0.8494	kept separately	0.3888	has_property	lanthanide
0.4084	0.8985	mexico	0.3888	be different in	mexican food
0.0068	0.9379	water	0.3888	float on	spirit
0.0022	0.8892	survive	0.3888	can	octopus
0.0109	0.9137	liquid	0.3888	has_property	detergent
0.0017	0.9167	harmful	0.3888	has_effect	stress
0.0008	0.9451	green	0.3888	has_color	human
0.0483	0.9005	a problem	0.3888	can be	pollen
0.021	0.8512	off	0.3888	go	airbag
0.0077	0.8106	feed	0.3888	can	lion
0.0018	0.8155	occupied	0.3888	has_property	abun
0.0077	0.9013	sync	0.3888	has_property	abun
0.0116	0.7397	npr	0.3888	has_property	abun
0.0223	0.8318	ordered	0.3888	has_property	abun
0.0079	0.8409	suspended	0.3888	has_property	abun
0.0984	0.6896	screenshot	0.3888	has_property	abun
0.0246	0.8952	saved	0.3888	has_property	abun
0.002	0.89	gym	0.3888	has_property	abun
0.9091	1.0	rhcp	0.3888	has_property	abun
0.011	1.0	reba	0.3888	has_property	abun
0.0111	0.8771	rcmp	0.3888	has_property	abun
0.0223	0.8318	ordered	0.3888	has_property	abun
0.2032	1.0	oldelaf	0.3888	has_property	abun
0.0018	0.8155	occupied	0.3888	has_property	abun
1.0	0.7752	with the flooding	0.3888	do	nebraska
0.4192	0.8835	gw2	0.3888	work in	specialization
0.0814	0.9051	in a relationship	0.3888	has_property	libra
0.6272	0.7099	confusion in the elderly	0.3888	cause	urinary tract infection
0.7915	0.8953	one eye open	0.3888	sleep with	dolphin
0.0003	0.942	expensive	0.3888	has_property	jamaica
0.3137	0.7216	significance	0.3888	battle of is	ypres
0.0022	0.9435	car	0.3888	has_property	acorus
0.0019	0.9405	air	0.3888	has_property	force
1.0	0.7971	refrigerators	0.3888	work in	microprocessor
1.0	0.7788	less reactive down the column	0.3888	become	halogen
0.0004	0.941	different	0.3888	be	velocity
0.0347	0.9096	negative charge	0.3888	have	hydroxide ion
1.0	0.8879	plane	0.3888	have	wonder woman
0.0002	0.9066	yellow	0.3888	has_color	farmer's market
0.8132	0.8948	lung cancer	0.3888	be different from	mesothelioma
0.0026	0.8625	by	0.3888	has_property	sending
0.0452	0.8881	yen	0.3888	has_property	lyric
0.6235	0.9038	school	0.3888	be said in	pledge
0.7876	0.9046	flag	0.3888	need	country
0.1477	0.7349	meek	0.3888	has_property	lyric
0.9205	0.8351	everglades	0.3888	be important to	alligator
0.0085	1.0	xenoblade	0.3888	has_property	criminal
0.008	0.7575	ymca	0.3888	has_property	lyric
0.7912	1.0	yyxy	0.3887	has_property	lyric
0.1352	1.0	ozymandias	0.3887	has_property	lyric
0.1921	1.0	yves	0.3887	has_property	lyric
0.0382	0.9097	yaw	0.3887	has_property	lyric
0.8447	1.0	mqtb	0.3887	has_property	lyric
0.2198	0.861	to	0.3887	come	dill
0.0004	0.8653	jump	0.3887	can	succulence
0.0002	0.9389	made	0.3887	has_property	photon
0.0043	0.905	common	0.3887	has_property	interphalangeal joint
1.0	0.7752	curves	0.3887	be attracted to	guy
0.185	0.8257	humans	0.3887	be friendly to	dolphin
0.5852	0.8463	important in sa	0.3887	has_property	farming
0.0321	0.8639	calculator	0.3887	has_property	square root
0.4107	0.7361	socks	0.3887	love	dog
0.0028	0.845	oggi	0.3887	has_property	movie
1.0	0.8087	under the tree	0.3887	be put	present
1.0	0.7603	when a liquid is heated	0.3887	appear	bubble
0.2327	0.9292	on pale	0.3887	has_property	bean
0.0021	0.8747	per	0.3887	has_property	blood clotting
1.0	0.8172	carnivores in ecosystem	0.3887	be than	herbivore
0.0133	0.9152	communication	0.3887	affect	gender role
1.0	0.8064	in the back	0.3887	puff out	dress shirt
0.0024	0.8854	brown	0.3887	turn	little dog
0.0169	0.9744	body	0.3887	work in	water pill
0.0055	0.9512	sentence	0.3887	be used in	extraction
0.0001	0.8642	work	0.3887	can	storeria
1.0	0.7432	for a third term	0.3887	run	fdr
1.0	0.8525	scientists learn about the past	0.3887	can help	rock
0.0013	0.8317	rhyme	0.3887	can	cataract
1.0	0.737	national teams comprised	0.3887	be	world cup
0.0307	0.7825	color	0.3887	lose	rose
0.0026	0.8289	zone	0.3887	can	tectona
0.0024	0.8808	off	0.3887	has_place	dog
0.0008	0.8633	mean	0.3887	can	above
0.0505	0.8696	oxygen	0.3887	require	organism
1.0	0.6733	internet	0.3887	implement security in	firewall
0.0991	0.8436	stripes	0.3887	get	football field
0.0005	0.9048	alive	0.3887	has_property	ward
0.0092	0.7939	feb	0.3887	has_property	movie
0.001	0.8852	yellow	0.3887	turn	acorn squash
0.0031	0.88	green	0.3887	turn	marble
0.1996	0.6472	perennial	0.3887	has_property	petunia
0.0002	0.9066	yellow	0.3887	has_color	picture frame
1.0	0.8301	black	0.3887	show up in	video
1.0	0.8091	keep	0.3887	huddle together	penguin
0.0009	0.9059	eat	0.3887	can	hare
1.0	0.7816	jams bond	0.3887	be in	mom
0.0001	0.8642	work	0.3887	can	puppeteer
0.0598	0.8444	university	0.3887	work in	trimester
0.4448	0.8263	in the punished	0.3887	die	jigsaw
1.0	0.7902	ww2	0.3887	turn point in	battle
0.001	0.9141	down	0.3887	has_place	pandar
0.0001	0.8642	work	0.3887	can	childbirth
1.0	0.8052	anger	0.3887	be related to	conflict
